layer,unit,description,similarity
encoder.ln,0,trench coat,0.12890625
encoder.ln,1,"unicycle, monocycle",0.06008911
encoder.ln,2,textile,0.087890625
encoder.ln,3,"saltshaker, salt shaker",0.094573975
encoder.ln,4,"china cabinet, china closet",0.10055542
encoder.ln,5,"crane, machine",0.09371948
encoder.ln,6,Italian greyhound,0.16812134
encoder.ln,7,"cocker spaniel, English cocker spaniel, cocker",0.1532898
encoder.ln,8,purses,0.12609863
encoder.ln,9,"ringneck snake, ring-necked snake, ring snake",0.06460571
encoder.ln,10,alligator lizard,0.23199463
encoder.ln,11,coffee mug,0.11160278
encoder.ln,12,"pencil box, pencil case",0.081604004
encoder.ln,13,"long-horned beetle, longicorn, longicorn beetle",0.11248779
encoder.ln,14,soft-coated wheaten terrier,0.2672119
encoder.ln,15,waffle iron,0.08328247
encoder.ln,16,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.14907837
encoder.ln,17,"confectionery, confectionary, candy store",0.10714722
encoder.ln,18,"Sealyham terrier, Sealyham",0.1748352
encoder.ln,19,"Sealyham terrier, Sealyham",0.13613892
encoder.ln,20,library,0.06365967
encoder.ln,21,shopzilla,0.06652832
encoder.ln,22,wooden spoon,0.09991455
encoder.ln,23,"motor scooter, scooter",0.14315796
encoder.ln,24,black-and-tan coonhound,0.12857056
encoder.ln,25,printprinter,0.10192871
encoder.ln,26,barber,0.108184814
encoder.ln,27,diapers,0.09576416
encoder.ln,28,"pencil box, pencil case",0.111816406
encoder.ln,29,fragrances,0.1210022
encoder.ln,30,"hand-held computer, hand-held microcomputer",0.08432007
encoder.ln,31,booksellers,0.06277466
encoder.ln,32,Crock Pot,0.4465332
encoder.ln,33,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.09378052
encoder.ln,34,parking meter,0.077545166
encoder.ln,35,French bulldog,0.08773804
encoder.ln,36,"English springer, English springer spaniel",0.117492676
encoder.ln,37,Blenheim spaniel,0.3871765
encoder.ln,38,bindings,0.11074829
encoder.ln,39,poured,0.09158325
encoder.ln,40,"hand-held computer, hand-held microcomputer",0.09854126
encoder.ln,41,manufacturer,0.07067871
encoder.ln,42,"barrow, garden cart, lawn cart, wheelbarrow",0.08068848
encoder.ln,43,"corkscrew, bottle screw",0.09918213
encoder.ln,44,"hand-held computer, hand-held microcomputer",0.09561157
encoder.ln,45,steel arch bridge,0.15042114
encoder.ln,46,"pencil box, pencil case",0.15631104
encoder.ln,47,"mobile home, manufactured home",0.14208984
encoder.ln,48,shower curtain,0.1048584
encoder.ln,49,workstation,0.10192871
encoder.ln,50,cleaning,0.054107666
encoder.ln,51,mosque,0.13119507
encoder.ln,52,maypole,0.09753418
encoder.ln,53,dinner,0.08416748
encoder.ln,54,epoxy,0.074920654
encoder.ln,55,archbishop,0.056243896
encoder.ln,56,"tobacco shop, tobacconist shop, tobacconist",0.08578491
encoder.ln,57,"letter opener, paper knife, paperknife",0.07888794
encoder.ln,58,trivium,0.059692383
encoder.ln,59,Shih-Tzu,0.2868042
encoder.ln,60,"pencil box, pencil case",0.09829712
encoder.ln,61,chainlink fence,0.08996582
encoder.ln,62,mating,0.2140503
encoder.ln,63,"rocking chair, rocker",0.11151123
encoder.ln,64,"Tibetan terrier, chrysanthemum dog",0.25967407
encoder.ln,65,"microwave, microwave oven",0.068237305
encoder.ln,66,spatula,0.06607056
encoder.ln,67,table lamp,0.065216064
encoder.ln,68,goblet,0.10040283
encoder.ln,69,schipperke,0.13220215
encoder.ln,70,"spider monkey, Ateles geoffroyi",0.08981323
encoder.ln,71,supervise,0.0982666
encoder.ln,72,"pencil box, pencil case",0.10040283
encoder.ln,73,telefonsex,0.08905029
encoder.ln,74,ladle,0.15249634
encoder.ln,75,tunisia,0.08856201
encoder.ln,76,plastic bag,0.07321167
encoder.ln,77,maize,0.06341553
encoder.ln,78,percussion,0.10934448
encoder.ln,79,sonyericsson,0.13510132
encoder.ln,80,"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.19604492
encoder.ln,81,miniature pinscher,0.10165405
encoder.ln,82,Labrador retriever,0.09918213
encoder.ln,83,"capuchin, ringtail, Cebus capucinus",0.21160889
encoder.ln,84,street,0.07888794
encoder.ln,85,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.08035278
encoder.ln,86,"pick, plectrum, plectron",0.13668823
encoder.ln,87,fountains,0.06921387
encoder.ln,88,"Walker hound, Walker foxhound",0.10922241
encoder.ln,89,sniper,0.083984375
encoder.ln,90,"solar dish, solar collector, solar furnace",0.07562256
encoder.ln,91,bassoon,0.11895752
encoder.ln,92,rustic,0.063964844
encoder.ln,93,"Pekinese, Pekingese, Peke",0.16546631
encoder.ln,94,subwoofer,0.06741333
encoder.ln,95,headquarters,0.12600708
encoder.ln,96,"letter opener, paper knife, paperknife",0.19042969
encoder.ln,97,"bannister, banister, balustrade, balusters, handrail",0.16149902
encoder.ln,98,"bucket, pail",0.11428833
encoder.ln,99,desktop computer,0.1083374
encoder.ln,100,painter,0.062194824
encoder.ln,101,habitat,0.16494751
encoder.ln,102,"lacewing, lacewing fly",0.18469238
encoder.ln,103,measuring cup,0.09298706
encoder.ln,104,hooded,0.083740234
encoder.ln,105,rain barrel,0.08590698
encoder.ln,106,bracelet,0.08786011
encoder.ln,107,military uniform,0.05859375
encoder.ln,108,carpets,0.08984375
encoder.ln,109,black-and-tan coonhound,0.33010864
encoder.ln,110,kitchen,0.12728882
encoder.ln,111,handbag,0.09869385
encoder.ln,112,"solar dish, solar collector, solar furnace",0.09603882
encoder.ln,113,"academic gown, academic robe, judge's robe",0.114990234
encoder.ln,114,"Bouvier des Flandres, Bouviers des Flandres",0.14761353
encoder.ln,115,fasteners,0.059661865
encoder.ln,116,handle,0.08230591
encoder.ln,117,"can opener, tin opener",0.07574463
encoder.ln,118,"Boston bull, Boston terrier",0.056884766
encoder.ln,119,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.11956787
encoder.ln,120,soup,0.1687622
encoder.ln,121,"Doberman, Doberman pinscher",0.3373413
encoder.ln,122,rapeseed,0.74749756
encoder.ln,123,"English springer, English springer spaniel",0.10638428
encoder.ln,124,Border collie,0.08746338
encoder.ln,125,soup bowl,0.10583496
encoder.ln,126,belts,0.08062744
encoder.ln,127,Rhodesian ridgeback,0.074920654
encoder.ln,128,rake,0.13513184
encoder.ln,129,"dalmatian, coach dog, carriage dog",0.12585449
encoder.ln,130,Leonberg,0.16546631
encoder.ln,131,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.08950806
encoder.ln,132,"pajama, pyjama, pj's, jammies",0.06921387
encoder.ln,133,"rock crab, Cancer irroratus",0.3257141
encoder.ln,134,percussion,0.07644653
encoder.ln,135,abaya,0.1408081
encoder.ln,136,"ice lolly, lolly, lollipop, popsicle",0.14337158
encoder.ln,137,"Indian elephant, Elephas maximus",0.12289429
encoder.ln,138,tranny,0.072265625
encoder.ln,139,fasteners,0.096588135
encoder.ln,140,"corkscrew, bottle screw",0.08224487
encoder.ln,141,snowboard,0.060394287
encoder.ln,142,musician,0.07281494
encoder.ln,143,hurricane,0.071136475
encoder.ln,144,"plunger, plumber's helper",0.073791504
encoder.ln,145,espresso maker,0.09854126
encoder.ln,146,kiosk,0.069366455
encoder.ln,147,"corkscrew, bottle screw",0.2802124
encoder.ln,148,table lamp,0.11566162
encoder.ln,149,"corkscrew, bottle screw",0.12384033
encoder.ln,150,"bicycle-built-for-two, tandem bicycle, tandem",0.11380005
encoder.ln,151,fasteners,0.079711914
encoder.ln,152,"hand-held computer, hand-held microcomputer",0.06518555
encoder.ln,153,"racket, racquet",0.06021118
encoder.ln,154,ambulance,0.11260986
encoder.ln,155,surveying,0.06304932
encoder.ln,156,carts,0.08502197
encoder.ln,157,Blenheim spaniel,0.07156372
encoder.ln,158,trailers,0.0637207
encoder.ln,159,soft-coated wheaten terrier,0.093933105
encoder.ln,160,toyshop,0.10803223
encoder.ln,161,wire-haired fox terrier,0.21176147
encoder.ln,162,sarong,0.08999634
encoder.ln,163,cassette player,0.058441162
encoder.ln,164,"china cabinet, china closet",0.11392212
encoder.ln,165,"butcher shop, meat market",0.068573
encoder.ln,166,street sign,0.089263916
encoder.ln,167,habitat,0.08325195
encoder.ln,168,"Tibetan terrier, chrysanthemum dog",0.12338257
encoder.ln,169,West Highland white terrier,0.1010437
encoder.ln,170,"home theater, home theatre",0.19696045
encoder.ln,171,"pencil box, pencil case",0.09716797
encoder.ln,172,flat-coated retriever,0.10958862
encoder.ln,173,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.114746094
encoder.ln,174,kuvasz,0.07461548
encoder.ln,175,bookstores,0.06277466
encoder.ln,176,English setter,0.18109131
encoder.ln,177,"hand-held computer, hand-held microcomputer",0.13720703
encoder.ln,178,"borzoi, Russian wolfhound",0.073516846
encoder.ln,179,dewalt,0.07925415
encoder.ln,180,"pencil box, pencil case",0.11691284
encoder.ln,181,"Tibetan terrier, chrysanthemum dog",0.28128052
encoder.ln,182,mud turtle,0.19119263
encoder.ln,183,Great Dane,0.19268799
encoder.ln,184,armadillo,0.21069336
encoder.ln,185,pencil sharpener,0.106903076
encoder.ln,186,beach,0.108184814
encoder.ln,187,"sunscreen, sunblock, sun blocker",0.08026123
encoder.ln,188,barbell,0.20986938
encoder.ln,189,whiskey jug,0.17929077
encoder.ln,190,musicians,0.08276367
encoder.ln,191,"lighter, light, igniter, ignitor",0.087371826
encoder.ln,192,"Maltese dog, Maltese terrier, Maltese",0.22583008
