layer,unit,description,similarity
features,0,carcinoma,0.09024048
features,1,mountain snowy,0.27764893
features,2,rave,0.15203857
features,3,boxing,0.21054077
features,4,ordered,0.21270752
features,5,football field,0.20770264
features,6,green,0.23425293
features,7,banquet hall,0.2243042
features,8,pizzeria,0.120666504
features,9,pantry,0.3553772
features,10,"gazebo, exterior",0.29742432
features,11,apartment,0.14431763
features,12,building facade,0.21664429
features,13,utility room,0.26242065
features,14,burial chamber,0.15148926
features,15,supermarket,0.24621582
features,16,rice paddy,0.19622803
features,17,hot spring,0.3385315
features,18,crowd,0.14962769
features,19,"swimming pool, outdoor",0.19888306
features,20,wardrobe,0.22805786
features,21,building facade,0.17416382
features,22,attic,0.28375244
features,23,marketed,0.11340332
features,24,fluorescence,0.115753174
features,25,tomb,0.21411133
features,26,rafting,0.47329712
features,27,pink,0.14099121
features,28,jail cell,0.2772827
features,29,sedona,0.1177063
features,30,viaduct,0.22949219
features,31,fire escape,0.19152832
features,32,restaurant kitchen,0.46951294
features,33,red,0.16052246
features,34,"ice skating rink, indoor",0.32617188
features,35,building facade,0.17410278
features,36,rafting,0.8883972
features,37,building facade,0.16894531
features,38,bamboo forest,0.1725769
features,39,participants,0.2010498
features,40,rainforest,0.19720459
features,41,hoodia,0.12640381
features,42,ball pit,0.33181763
features,43,ball pit,0.17025757
features,44,crosswalk,0.4361267
features,45,textile,0.24560547
features,46,butchers shop,0.39846802
features,47,sand,0.2338562
features,48,"atrium, public",0.19839478
features,49,pantry,0.3651123
features,50,bamboo forest,0.56396484
features,51,habitat,0.3005371
features,52,bank vault,0.12496948
features,53,zen garden,0.3539734
features,54,sandbox,0.34329224
features,55,elevator lobby,0.11923218
features,56,swimming hole,0.15148926
features,57,"underwater, ocean deep",0.16329956
features,58,participants,0.23474121
features,59,topiary garden,0.76605225
features,60,manuscripts,0.19763184
features,61,stairs,0.16073608
features,62,conference room,0.24099731
features,63,car interior,0.2531128
features,64,crevasse,0.13684082
features,65,sauna,0.22695923
features,66,advertisement,0.2185669
features,67,landing deck,0.16967773
features,68,fabric store,0.260437
features,69,ball pit,0.31796265
features,70,bookshelf,0.4237671
features,71,aircraft,0.3789673
features,72,ball pit,0.33666992
features,73,paintings,0.11669922
features,74,billiards,0.29159546
features,75,drugstore,0.26486206
features,76,habitat,0.19631958
features,77,closet,0.2652588
features,78,bookstores,0.08187866
features,79,facilities,0.18865967
features,80,nursery,0.21105957
features,81,ball pit,0.10977173
features,82,clouds,0.36715698
features,83,utility room,0.40905762
features,84,fences,0.09906006
features,85,bamboo forest,0.4607849
features,86,vineyards,0.22705078
features,87,"kennel, outdoor",0.29782104
features,88,foliage,0.20388794
features,89,flower,0.20947266
features,90,boxing,0.45791626
features,91,hockey,0.074035645
features,92,car interior,0.23348999
features,93,"bakery, shop",0.31591797
features,94,"arena, rodeo",0.1703186
features,95,ball pit,0.36224365
features,96,"stadium, football",0.1098938
features,97,passage,0.2505188
features,98,intergovernmental,0.2854309
features,99,skeleton,0.2980957
features,100,furnished,0.40582275
features,101,glacier,0.116882324
features,102,aviation,0.45874023
features,103,ducks,0.13876343
features,104,childs room,0.42782593
features,105,aisle,0.19262695
features,106,pantry,0.46237183
features,107,beer,0.17321777
features,108,operating room,0.3642578
features,109,"apartment building, outdoor",0.14324951
features,110,aqueduct,0.3366394
features,111,tournament,0.16189575
features,112,pagoda,0.36654663
features,113,computer room,0.14706421
features,114,warehousing,0.11538696
features,115,throne room,0.20004272
features,116,aqueduct,0.53305054
features,117,ice shelf,0.13272095
features,118,corridor,0.17614746
features,119,canyon,0.325531
features,120,conservatory,0.2875061
features,121,scarves,0.0914917
features,122,cockpit,0.3982544
features,123,"hangar, indoor",0.09674072
features,124,snowfield,0.16149902
features,125,rafting,0.17178345
features,126,seats,0.110565186
features,127,ball pit,0.7595215
features,128,bowling alley,0.7943115
features,129,wind farm,0.37121582
features,130,roof garden,0.2913208
features,131,columns,0.22961426
features,132,food court,0.23394775
features,133,clouds,0.28588867
features,134,dining room,0.31802368
features,135,"desert, vegetation",0.22259521
features,136,delicatessen,0.13754272
features,137,building facade,0.2131958
features,138,quilts,0.14712524
features,139,snowfield,0.2949829
features,140,conference room,0.15460205
features,141,panorama,0.18936157
features,142,palms,0.10202026
features,143,locker room,0.15753174
features,144,elevator shaft,0.14517212
features,145,ball pit,0.22259521
features,146,kindergarden classroom,0.3085022
features,147,utility room,0.32369995
features,148,boxing,0.32958984
features,149,"bakery, shop",0.19168091
features,150,ceilings,0.12081909
features,151,locker,0.44589233
features,152,fabric store,0.27798462
features,153,flores,0.44625854
features,154,attic,0.22207642
features,155,phone booth,0.12219238
features,156,habitat,0.32565308
features,157,lights,0.1829834
features,158,gas station,0.48208618
features,159,homemade,0.13549805
features,160,candy store,0.19506836
features,161,clothing store,0.1763916
features,162,avalanche,0.1947937
features,163,"field, cultivated",0.12234497
features,164,crypt,0.16226196
features,165,ball pit,0.56707764
features,166,"desert, vegetation",0.3414917
features,167,fishpond,0.35058594
features,168,fabric store,0.331604
features,169,"parking garage, indoor",0.15231323
features,170,snow,0.23510742
features,171,mountain snowy,0.23043823
features,172,jewelry shop,0.11767578
features,173,ball pit,0.67666626
features,174,jail cell,0.14230347
features,175,ball pit,0.9525757
features,176,bookshelf,0.29205322
features,177,"field, cultivated",0.3317566
features,178,flower,0.20983887
features,179,recording,0.14016724
features,180,aqueduct,0.11383057
features,181,giclee,0.1878357
features,182,fabric store,0.17196655
features,183,bamboo forest,0.24493408
features,184,surfing,0.46533203
features,185,childs room,0.17553711
features,186,legislative chamber,0.14797974
features,187,pagoda,0.43688965
features,188,crevasse,0.16656494
features,189,tree farm,0.33547974
features,190,waterfall,0.39987183
features,191,car interior,0.24023438
features,192,yellow,0.12774658
features,193,bowling alley,0.35064697
features,194,shoe shop,0.20074463
features,195,"field, cultivated",0.24240112
features,196,lava,0.26837158
features,197,fountains,0.12475586
features,198,kindergarten,0.24847412
features,199,volcano,0.17855835
features,200,"florist shop, indoor",0.28457642
features,201,building facade,0.20663452
features,202,amusement arcade,0.28121948
features,203,formal garden,0.27703857
features,204,shower,0.14337158
features,205,bank vault,0.28845215
features,206,wardrobe,0.37609863
features,207,buildings,0.30160522
features,208,juvenile,0.1281128
features,209,oast house,0.13998413
features,210,snowfield,0.37582397
features,211,candy store,0.13140869
features,212,glacier,0.2026062
features,213,aviation,0.31536865
features,214,sign,0.20852661
features,215,"church, outdoor",0.13995361
features,216,wetland,0.2144165
features,217,amphitheater,0.68933105
features,218,trains,0.26535034
features,219,flowers,0.1296997
features,220,wind farm,0.6676636
features,221,"stadium, football",0.29870605
features,222,pantry,0.56417847
features,223,pagoda,0.29232788
features,224,jail cell,0.19384766
features,225,ball pit,0.28674316
features,226,skyline,0.37802124
features,227,panorama,0.27209473
features,228,ball pit,0.18963623
features,229,raceway,0.16339111
features,230,"general store, indoor",0.34588623
features,231,playground,0.2772522
features,232,bottles,0.25878906
features,233,aviation,0.45874023
features,234,bamboo forest,0.29641724
features,235,utility room,0.11462402
features,236,forest path,0.2637329
features,237,bamboo forest,0.81900024
features,238,aqueduct,0.3135376
features,239,forest path,0.13265991
features,240,windmill,0.25402832
features,241,water tower,0.35546875
features,242,natural history museum,0.3798828
features,243,bamboo forest,0.29400635
features,244,storage room,0.19589233
features,245,"escalator, indoor",0.34631348
features,246,gates,0.12503052
features,247,bedchamber,0.22763062
features,248,cushions,0.28515625
features,249,nurses,0.17932129
features,250,ball pit,0.2010498
features,251,classroom,0.42929077
features,252,bus interior,0.27236938
features,253,landfill,0.20373535
features,254,fog,0.2878418
features,255,ultraviolet,0.20098877
features,256,mosque,0.1927185
features,257,galley,0.43811035
features,258,courtyard,0.24453735
features,259,candy store,0.24490356
features,260,glacier,0.097351074
features,261,"escalator, indoor",0.2539673
features,262,compressor,0.24591064
features,263,railroad track,0.11505127
features,264,spires,0.1434021
features,265,autumn,0.26489258
features,266,mating,0.23687744
features,267,car interior,0.37722778
features,268,mezzanine,0.16442871
features,269,beads,0.12805176
features,270,laboratories,0.15100098
features,271,ball pit,0.23526001
features,272,sahara,0.26800537
features,273,cyclone,0.20913696
features,274,wavelength,0.10623169
features,275,carrousel,0.21679688
features,276,ball pit,0.90682983
features,277,carrousel,0.49295044
features,278,"stadium, baseball",0.54800415
features,279,rope bridge,0.19995117
features,280,pagoda,0.6125183
features,281,rock arch,0.53897095
features,282,tomb,0.2590027
features,283,"balcony, exterior",0.1803894
features,284,collier,0.17071533
features,285,"bakery, shop",0.2720642
features,286,vegetable garden,0.59991455
features,287,compost,0.1904602
features,288,beaded,0.08480835
features,289,"kennel, outdoor",0.26852417
features,290,"balcony, interior",0.13705444
features,291,"forest, broadleaf",0.28204346
features,292,habitat,0.20993042
features,293,pantry,0.39608765
features,294,tackling,0.22128296
features,295,shower,0.32507324
features,296,mosque,0.35531616
features,297,wind farm,0.7291565
features,298,door,0.37524414
features,299,fossils,0.085998535
features,300,rope bridge,0.37286377
features,301,topiary garden,0.22747803
features,302,junkyard,0.17855835
features,303,library,0.20297241
features,304,water tower,0.1802063
features,305,operating room,0.118133545
features,306,rice paddy,0.17553711
features,307,fabric store,0.30493164
features,308,aviation,0.29473877
features,309,aviation,0.45874023
features,310,living room,0.36325073
features,311,"gazebo, exterior",0.2696228
features,312,instructors,0.18115234
features,313,bowling,0.49383545
features,314,pantry,0.107421875
features,315,shelving,0.43804932
features,316,fielding,0.18057251
features,317,audience,0.109191895
features,318,sauna,0.372406
features,319,"arena, hockey",0.24087524
features,320,aviation,0.45874023
features,321,aviation,0.45874023
features,322,rice paddy,0.22698975
features,323,assortment,0.119262695
features,324,ball pit,0.30752563
features,325,jail cell,0.23794556
features,326,butchers shop,0.340271
features,327,aqueduct,0.2607422
features,328,pantry,0.22790527
features,329,staircase,0.26202393
features,330,"doorway, outdoor",0.28250122
features,331,sauna,0.52511597
features,332,auditorium,0.38974
features,333,bamboo forest,0.4610901
features,334,kennel,0.16885376
features,335,boats,0.46984863
features,336,ball pit,0.17602539
features,337,tackling,0.1972351
features,338,ball pit,0.5871887
features,339,curtains,0.10836792
features,340,crevasse,0.35092163
features,341,zen garden,0.15322876
features,342,porch,0.117126465
features,343,necklace,0.10882568
features,344,pharmacist,0.29315186
features,345,kasbah,0.3116455
features,346,"stadium, football",0.31777954
features,347,ball pit,0.25598145
features,348,tackling,0.18045044
features,349,bus interior,0.3164673
features,350,butchers shop,0.25109863
features,351,opponents,0.16558838
features,352,surf,0.36691284
features,353,pizza,0.20214844
features,354,resort,0.27505493
features,355,pagoda,0.39840698
features,356,foods,0.1697998
features,357,roads,0.16107178
features,358,pier,0.11175537
features,359,desserts,0.20993042
features,360,dam,0.10845947
features,361,amusement arcade,0.24291992
features,362,juvenile,0.16680908
features,363,archaelogical excavation,0.25460815
features,364,bullring,0.15005493
features,365,rafting,0.18756104
features,366,drainage,0.26657104
features,367,condominium,0.31298828
features,368,"desert, sand",0.12615967
features,369,cemetery,0.114746094
features,370,formal garden,0.20483398
features,371,"desert, sand",0.59799194
features,372,habitat,0.24575806
features,373,banquet hall,0.22851562
features,374,concert,0.18972778
features,375,junkyard,0.19210815
features,376,performing,0.12060547
features,377,"ice skating rink, indoor",0.33773804
features,378,bank vault,0.2654724
features,379,elevator lobby,0.18585205
features,380,"apartment building, outdoor",0.2447815
features,381,pantry,0.35403442
features,382,autumn,0.19915771
features,383,"desert, sand",0.10745239
features,384,museum,0.1880188
features,385,cathedral,0.24154663
features,386,soccer,0.2532959
features,387,grazing,0.2124939
features,388,building facade,0.26287842
features,389,artists loft,0.24438477
features,390,flower,0.22436523
features,391,aviation,0.45874023
features,392,columns,0.20895386
features,393,ball pit,0.43789673
features,394,building facade,0.23880005
features,395,"elevator, door",0.29318237
features,396,intergovernmental,0.20126343
features,397,performing,0.20730591
features,398,cellar,0.24795532
features,399,aviation,0.35546875
features,400,"field, cultivated",0.22943115
features,401,kindergarden classroom,0.32217407
features,402,castle,0.32455444
features,403,phone booth,0.3496399
features,404,"swimming pool, outdoor",0.45584106
features,405,cabin,0.27755737
features,406,art gallery,0.2814026
features,407,candy store,0.31375122
features,408,bank vault,0.11416626
features,409,racecourse,0.25109863
features,410,ball pit,0.34121704
