layer,unit,description,similarity
avgpool,0,"prayer rug, prayer mat",0.16134644
avgpool,1,"bookshop, bookstore, bookstall",0.58755493
avgpool,2,digital clock,0.34750366
avgpool,3,"tiger shark, Galeocerdo cuvieri",0.54571533
avgpool,4,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.37594604
avgpool,5,gown,0.52975464
avgpool,6,"French horn, horn",0.75
avgpool,7,"black swan, Cygnus atratus",0.40063477
avgpool,8,"dishrag, dishcloth",0.3765564
avgpool,9,"borzoi, Russian wolfhound",0.6457825
avgpool,10,measuring cup,0.34628296
avgpool,11,"cornet, horn, trumpet, trump",0.50564575
avgpool,12,"black-footed ferret, ferret, Mustela nigripes",0.21054077
avgpool,13,mashed potato,0.1913147
avgpool,14,"Indian elephant, Elephas maximus",0.16934204
avgpool,15,triumphal arch,0.40905762
avgpool,16,"confectionery, confectionary, candy store",0.27160645
avgpool,17,mating,0.44467163
avgpool,18,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.5600586
avgpool,19,"cello, violoncello",0.23388672
avgpool,20,"ballplayer, baseball player",0.25564575
avgpool,21,"feather boa, boa",0.36914062
avgpool,22,holster,0.3171692
avgpool,23,"computer keyboard, keypad",0.27200317
avgpool,24,"French horn, horn",0.38589478
avgpool,25,"Saluki, gazelle hound",0.2675476
avgpool,26,"sea slug, nudibranch",0.3612671
avgpool,27,"dogsled, dog sled, dog sleigh",0.63757324
avgpool,28,Great Pyrenees,0.30371094
avgpool,29,croquet ball,0.27459717
avgpool,30,hourglass,0.30044556
avgpool,31,"Angora, Angora rabbit",0.5316467
avgpool,32,"racer, race car, racing car",0.26446533
avgpool,33,digital clock,0.2685547
avgpool,34,"affenpinscher, monkey pinscher, monkey dog",0.13174438
avgpool,35,German short-haired pointer,0.5827942
avgpool,36,cabinets,0.24060059
avgpool,37,coral fungus,0.48202515
avgpool,38,"fire screen, fireguard",0.42095947
avgpool,39,"paddle, boat paddle",0.3449707
avgpool,40,gown,0.3050232
avgpool,41,"artichoke, globe artichoke",0.30297852
