layer,unit,description,similarity
fc,0,"tench, Tinca tinca",0.9334717
fc,1,"goldfish, Carassius auratus",0.83395386
fc,2,"tiger shark, Galeocerdo cuvieri",1.0254822
fc,3,"tiger shark, Galeocerdo cuvieri",1.1731567
fc,4,"tiger shark, Galeocerdo cuvieri",1.0894165
fc,5,"electric ray, crampfish, numbfish, torpedo",0.8632202
fc,6,stingray,0.85647583
fc,7,hen,0.64450073
fc,8,hen,0.6704407
fc,9,"ostrich, Struthio camelus",1.1333008
fc,10,"brambling, Fringilla montifringilla",1.2880554
fc,11,"goldfinch, Carduelis carduelis",1.0909119
fc,12,"house finch, linnet, Carpodacus mexicanus",1.2873535
fc,13,"junco, snowbird",1.341095
fc,14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1.2368774
fc,15,"robin, American robin, Turdus migratorius",1.1746216
fc,16,bulbul,0.9477234
fc,17,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.7261963
fc,18,magpie,0.9075012
fc,19,chickadee,1.1751099
fc,20,"water ouzel, dipper",1.4316101
fc,21,"bald eagle, American eagle, Haliaeetus leucocephalus",0.7623291
fc,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.9876404
fc,23,vulture,0.65859985
fc,24,"great grey owl, great gray owl, Strix nebulosa",1.0116882
fc,25,"European fire salamander, Salamandra salamandra",2.0370178
fc,26,"common newt, Triturus vulgaris",1.4858093
fc,27,"common newt, Triturus vulgaris",1.5583801
fc,28,"spotted salamander, Ambystoma maculatum",1.7929077
fc,29,"axolotl, mud puppy, Ambystoma mexicanum",1.2552185
fc,30,"bullfrog, Rana catesbeiana",1.0908813
fc,31,"tree frog, tree-frog",1.0397339
fc,32,"bullfrog, Rana catesbeiana",0.9933777
fc,33,"loggerhead, loggerhead turtle, Caretta caretta",1.085846
fc,34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",1.1226807
fc,35,"box turtle, box tortoise",1.0295715
fc,36,"box turtle, box tortoise",1.0435486
fc,37,"box turtle, box tortoise",1.1714172
fc,38,banded gecko,1.1520386
fc,39,"common iguana, iguana, Iguana iguana",1.093689
fc,40,"American chameleon, anole, Anolis carolinensis",1.2554016
fc,41,"whiptail, whiptail lizard",1.1819153
fc,42,"whiptail, whiptail lizard",0.9909363
fc,43,"frilled lizard, Chlamydosaurus kingi",1.1206055
fc,44,alligator lizard,1.2228088
fc,45,"Gila monster, Heloderma suspectum",1.6822205
fc,46,"American chameleon, anole, Anolis carolinensis",1.2335205
fc,47,"African chameleon, Chamaeleo chamaeleon",1.1918945
fc,48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",1.1305847
fc,49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.99554443
fc,50,"African crocodile, Nile crocodile, Crocodylus niloticus",0.9244385
fc,51,triceratops,0.91793823
fc,52,"thunder snake, worm snake, Carphophis amoenus",1.1426392
fc,53,"ringneck snake, ring-necked snake, ring snake",1.3632202
fc,54,"hognose snake, puff adder, sand viper",1.1124878
fc,55,green mamba,1.1921997
fc,56,"king snake, kingsnake",0.96029663
fc,57,"garter snake, grass snake",1.326294
fc,58,"garter snake, grass snake",0.9882202
fc,59,"green snake, grass snake",1.1421509
fc,60,"night snake, Hypsiglena torquata",1.0746765
fc,61,"rock python, rock snake, Python sebae",0.91830444
fc,62,"rock python, rock snake, Python sebae",0.93670654
fc,63,"Indian cobra, Naja naja",1.0018921
fc,64,green mamba,1.1616516
fc,65,sea snake,1.1037292
fc,66,"hognose snake, puff adder, sand viper",1.3243408
fc,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",1.2430115
fc,68,"sidewinder, horned rattlesnake, Crotalus cerastes",1.3126221
fc,69,trilobite,1.3428345
fc,70,"harvestman, daddy longlegs, Phalangium opilio",1.1640625
fc,71,scorpion,0.6838074
fc,72,"black and gold garden spider, Argiope aurantia",1.3548889
fc,73,"barn spider, Araneus cavaticus",1.2183533
fc,74,"barn spider, Araneus cavaticus",1.3027039
fc,75,"black widow, Latrodectus mactans",1.4287109
fc,76,tarantula,0.9200134
fc,77,"barn spider, Araneus cavaticus",1.0066223
fc,78,"barn spider, Araneus cavaticus",0.70254517
fc,79,centipede,0.69866943
fc,80,black grouse,1.4169922
fc,81,ptarmigan,1.3874817
fc,82,"ruffed grouse, partridge, Bonasa umbellus",0.9873657
fc,83,"prairie chicken, prairie grouse, prairie fowl",1.3594666
fc,84,peacock,0.80770874
fc,85,quail,0.95440674
fc,86,partridge,0.9420471
fc,87,"African grey, African gray, Psittacus erithacus",1.1259766
fc,88,macaw,0.9320984
fc,89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1.2271729
fc,90,lorikeet,1.0706177
fc,91,coucal,1.2191772
fc,92,bee eater,1.3687439
fc,93,hornbill,0.9935303
fc,94,jacamar,0.9976196
fc,95,jacamar,1.5795898
fc,96,toucan,0.99713135
fc,97,"red-breasted merganser, Mergus serrator",0.6636658
fc,98,"red-breasted merganser, Mergus serrator",1.4821167
fc,99,"black swan, Cygnus atratus",0.6668396
fc,100,"black swan, Cygnus atratus",1.3649902
fc,101,"Indian elephant, Elephas maximus",1.0126953
fc,102,"porcupine, hedgehog",1.1239014
