layer,unit,description,similarity
layer3,0,menu,0.2866211
layer3,1,chainlink fence,0.19015503
layer3,2,habit,0.39486694
layer3,3,"garden spider, Aranea diademata",0.29421997
layer3,4,"spider web, spider's web",0.11584473
layer3,5,green mamba,0.29821777
layer3,6,"file, file cabinet, filing cabinet",0.20361328
layer3,7,"hognose snake, puff adder, sand viper",0.58206177
layer3,8,juvenile,0.28494263
layer3,9,habit,0.27929688
layer3,10,cauliflower,0.1513977
layer3,11,manhole cover,0.20135498
layer3,12,oil filter,0.1251831
layer3,13,"flute, transverse flute",0.113983154
layer3,14,"Shetland sheepdog, Shetland sheep dog, Shetland",0.22183228
layer3,15,"red-backed sandpiper, dunlin, Erolia alpina",0.19433594
layer3,16,brain coral,0.18283081
layer3,17,scoreboard,0.20159912
layer3,18,"china cabinet, china closet",0.2564087
layer3,19,"tiger shark, Galeocerdo cuvieri",0.17370605
layer3,20,workstations,0.12808228
layer3,21,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",0.12310791
layer3,22,handful,0.120025635
layer3,23,fruits,0.29934692
layer3,24,"odometer, hodometer, mileometer, milometer",0.15045166
layer3,25,"computer keyboard, keypad",0.22479248
layer3,26,birding,0.3062439
layer3,27,fruits,0.23184204
layer3,28,vending machine,0.20581055
layer3,29,"computer keyboard, keypad",0.21740723
layer3,30,chainlink fence,0.39031982
layer3,31,vestment,0.08654785
layer3,32,"capuchin, ringtail, Cebus capucinus",0.27786255
layer3,33,snorkeling,0.19552612
layer3,34,fruits,0.3312683
layer3,35,digital clock,0.21417236
layer3,36,"European fire salamander, Salamandra salamandra",0.63812256
layer3,37,"rock beauty, Holocanthus tricolor",0.1739502
layer3,38,fruits,0.10232544
layer3,39,"dugong, Dugong dugon",0.20254517
layer3,40,head cabbage,0.114715576
layer3,41,"theater curtain, theatre curtain",0.2991333
layer3,42,"doormat, welcome mat",0.10443115
layer3,43,mating,0.2416687
layer3,44,"chiffonier, commode",0.16946411
layer3,45,maize,0.18902588
layer3,46,"crossword puzzle, crossword",0.319458
layer3,47,cups,0.23825073
layer3,48,"computer keyboard, keypad",0.2106018
layer3,49,acoustic guitar,0.14575195
