layer,unit,description,similarity
avgpool,0,childs room,0.21365356
avgpool,1,courthouse,0.3722229
avgpool,2,"jacuzzi, indoor",0.33709717
avgpool,3,shower,0.37579346
avgpool,4,building facade,0.31137085
avgpool,5,bamboo forest,0.8652649
avgpool,6,rafting,0.45281982
avgpool,7,mosque,0.294281
avgpool,8,ball pit,0.33132935
avgpool,9,"shopping mall, indoor",0.6697998
avgpool,10,burial chamber,0.14712524
avgpool,11,"shopping mall, indoor",0.2666626
avgpool,12,balcony,0.27505493
avgpool,13,phone booth,0.9159546
avgpool,14,surf,0.16888428
avgpool,15,bedchamber,0.6795654
avgpool,16,football field,0.18167114
avgpool,17,motels,0.43286133
avgpool,18,pharmacist,0.43850708
avgpool,19,window,0.20928955
avgpool,20,computer room,0.253479
avgpool,21,boxing,0.62286377
avgpool,22,building facade,0.16555786
avgpool,23,deployment,0.4388733
avgpool,24,art gallery,0.21539307
avgpool,25,oast house,0.3734436
avgpool,26,building facade,0.45498657
avgpool,27,martial arts gym,0.44250488
avgpool,28,vineyards,0.3878479
avgpool,29,spires,0.37579346
avgpool,30,staircase,0.5314026
avgpool,31,gas station,0.7229004
avgpool,32,crevasse,0.40844727
avgpool,33,enlisted,0.45617676
avgpool,34,basketball,0.20245361
avgpool,35,performing,0.2744751
avgpool,36,habitat,0.26727295
avgpool,37,building facade,0.30947876
avgpool,38,wetland,0.35849
avgpool,39,operating room,0.6816101
avgpool,40,igloo,0.42349243
avgpool,41,office cubicles,0.22460938
avgpool,42,television studio,0.38946533
avgpool,43,racing,0.4940796
avgpool,44,zen garden,0.32318115
avgpool,45,computer room,0.36749268
avgpool,46,elevator shaft,0.3720398
avgpool,47,"desert, vegetation",0.32208252
avgpool,48,bus interior,0.36642456
avgpool,49,instructors,0.447052
avgpool,50,varieties,0.13864136
avgpool,51,kayaking,0.33187866
avgpool,52,crosswalk,0.3548584
avgpool,53,bamboo forest,0.2529602
avgpool,54,fishpond,0.34146118
avgpool,55,swimming,0.39715576
avgpool,56,amusement arcade,0.37182617
avgpool,57,ice shelf,0.32965088
avgpool,58,music studio,0.41131592
avgpool,59,"shopping mall, indoor",0.57925415
avgpool,60,cathedral,0.49047852
avgpool,61,operating room,0.16305542
avgpool,62,sofas,0.52001953
avgpool,63,"atrium, public",0.33843994
avgpool,64,gas station,0.28604126
avgpool,65,pagoda,0.6386719
avgpool,66,"balcony, interior",0.3293152
avgpool,67,mosque,0.53759766
avgpool,68,rope bridge,0.2829895
avgpool,69,rapids,0.40231323
avgpool,70,gas station,0.7338562
avgpool,71,ordered,0.15042114
avgpool,72,contemporary,0.40652466
avgpool,73,shoe shop,0.58425903
avgpool,74,windmill,0.27450562
avgpool,75,cafeteria,0.3062439
avgpool,76,doors,0.21765137
avgpool,77,carrousel,0.31448364
avgpool,78,bookshop,0.57333374
avgpool,79,"arena, hockey",0.6633606
avgpool,80,"shopping mall, indoor",0.17330933
avgpool,81,"hangar, indoor",0.45361328
avgpool,82,amusement park,0.39389038
avgpool,83,"flea market, indoor",0.25256348
avgpool,84,landing deck,0.3467102
avgpool,85,invitational,0.23947144
avgpool,86,rope bridge,0.29678345
avgpool,87,"greenhouse, outdoor",0.21487427
avgpool,88,automotive,0.43411255
avgpool,89,amphitheater,0.3338318
avgpool,90,engine room,0.29333496
avgpool,91,sold,0.18435669
avgpool,92,bank vault,0.38754272
avgpool,93,stargate,0.23617554
avgpool,94,tree farm,0.4918213
avgpool,95,snowy,0.42755127
avgpool,96,sign,0.31018066
avgpool,97,living room,0.48156738
avgpool,98,"garage, outdoor",0.47235107
avgpool,99,kitchens,0.48745728
avgpool,100,butchers shop,0.27355957
avgpool,101,aqueduct,0.21621704
avgpool,102,landfill,0.38461304
avgpool,103,nursery,0.48538208
avgpool,104,fire station,0.49499512
