layer,unit,description,similarity
subset,0,trench coat,0.12890625
subset,1,"unicycle, monocycle",0.06008911
subset,2,textile,0.087890625
subset,3,"saltshaker, salt shaker",0.094573975
subset,4,"china cabinet, china closet",0.10055542
subset,5,"crane, machine",0.09371948
subset,6,Italian greyhound,0.16812134
subset,7,"cocker spaniel, English cocker spaniel, cocker",0.1532898
subset,8,purses,0.12609863
subset,9,"ringneck snake, ring-necked snake, ring snake",0.06460571
subset,10,alligator lizard,0.23199463
subset,11,coffee mug,0.11160278
subset,12,"pencil box, pencil case",0.081604004
subset,13,"long-horned beetle, longicorn, longicorn beetle",0.11248779
subset,14,soft-coated wheaten terrier,0.2672119
subset,15,waffle iron,0.08328247
subset,16,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.14907837
subset,17,"confectionery, confectionary, candy store",0.10714722
subset,18,"Sealyham terrier, Sealyham",0.1748352
subset,19,"Sealyham terrier, Sealyham",0.13613892
subset,20,library,0.06365967
subset,21,shopzilla,0.06652832
subset,22,wooden spoon,0.09991455
subset,23,"motor scooter, scooter",0.14315796
subset,24,black-and-tan coonhound,0.12857056
subset,25,printprinter,0.10192871
subset,26,barber,0.108184814
subset,27,diapers,0.09576416
subset,28,"pencil box, pencil case",0.111816406
subset,29,fragrances,0.1210022
subset,30,"hand-held computer, hand-held microcomputer",0.08432007
subset,31,booksellers,0.06277466
subset,32,Crock Pot,0.4465332
subset,33,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.09378052
subset,34,parking meter,0.077545166
subset,35,French bulldog,0.08773804
subset,36,"English springer, English springer spaniel",0.117492676
subset,37,Blenheim spaniel,0.3871765
subset,38,bindings,0.11074829
subset,39,poured,0.09158325
subset,40,"hand-held computer, hand-held microcomputer",0.09854126
subset,41,manufacturer,0.07067871
subset,42,"barrow, garden cart, lawn cart, wheelbarrow",0.08068848
subset,43,"corkscrew, bottle screw",0.09918213
subset,44,"hand-held computer, hand-held microcomputer",0.09561157
subset,45,steel arch bridge,0.15042114
subset,46,"pencil box, pencil case",0.15631104
subset,47,"mobile home, manufactured home",0.14208984
subset,48,shower curtain,0.1048584
subset,49,workstation,0.10192871
subset,50,cleaning,0.054107666
subset,51,mosque,0.13119507
subset,52,maypole,0.09753418
subset,53,dinner,0.08416748
subset,54,epoxy,0.074920654
subset,55,archbishop,0.056243896
subset,56,"tobacco shop, tobacconist shop, tobacconist",0.08578491
subset,57,"letter opener, paper knife, paperknife",0.07888794
subset,58,trivium,0.059692383
subset,59,Shih-Tzu,0.2868042
subset,60,"pencil box, pencil case",0.09829712
subset,61,chainlink fence,0.08996582
subset,62,mating,0.2140503
subset,63,"rocking chair, rocker",0.11151123
subset,64,"Tibetan terrier, chrysanthemum dog",0.25967407
subset,65,"microwave, microwave oven",0.068237305
subset,66,spatula,0.06607056
subset,67,table lamp,0.065216064
subset,68,goblet,0.10040283
subset,69,schipperke,0.13220215
subset,70,"spider monkey, Ateles geoffroyi",0.08981323
subset,71,supervise,0.0982666
subset,72,"pencil box, pencil case",0.10040283
subset,73,telefonsex,0.08905029
subset,74,ladle,0.15249634
subset,75,tunisia,0.08856201
subset,76,plastic bag,0.07321167
subset,77,maize,0.06341553
subset,78,percussion,0.10934448
subset,79,sonyericsson,0.13510132
subset,80,"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.19604492
subset,81,miniature pinscher,0.10165405
subset,82,Labrador retriever,0.09918213
subset,83,"capuchin, ringtail, Cebus capucinus",0.21160889
subset,84,street,0.07888794
subset,85,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.08035278
subset,86,"pick, plectrum, plectron",0.13668823
subset,87,fountains,0.06921387
subset,88,"Walker hound, Walker foxhound",0.10922241
subset,89,sniper,0.083984375
subset,90,"solar dish, solar collector, solar furnace",0.07562256
subset,91,bassoon,0.11895752
subset,92,rustic,0.063964844
subset,93,"Pekinese, Pekingese, Peke",0.16546631
subset,94,subwoofer,0.06741333
subset,95,headquarters,0.1260376
subset,96,"letter opener, paper knife, paperknife",0.19042969
subset,97,"bannister, banister, balustrade, balusters, handrail",0.16149902
subset,98,"bucket, pail",0.11428833
subset,99,desktop computer,0.1083374
subset,100,painter,0.062194824
subset,101,habitat,0.16494751
subset,102,"lacewing, lacewing fly",0.18469238
subset,103,measuring cup,0.09298706
subset,104,hooded,0.083740234
subset,105,rain barrel,0.08590698
