group,Unnamed: 0,concept_set_words,concept_set_noun_phrases
48,48,"[('key', 0.05011095319475446), ('piano', 0.04667881556919643), ('vintage', 0.04652622767857143), ('side', 0.044093540736607144), ('keyboard', 0.04287828717912946), ('wire', 0.03724016462053571), ('edge', 0.03643798828125), ('shade', 0.03519439697265625)]","[('butternut squash', 0.03465053013392857), ('bangkok web', 0.033360072544642856), ('prawn buffet', 0.033360072544642856), ('cable stitch side', 0.029453822544642856), ('partridge heel stitch', 0.029087611607142856), ('fingerin weight toe', 0.029087611607142856), ('dolphin stitch marker', 0.028302873883928572), ('flat someones hand', 0.028302873883928572)]"
54,54,"[('bottle', 0.0689013250942888), ('glass', 0.05704577215786638), ('erm', 0.042593068089978446), ('aquavac', 0.042593068089978446), ('name', 0.042593068089978446), ('product', 0.042593068089978446), ('inside', 0.03561927532327586), ('vertical', 0.03482792295258621)]","[('aquavac erm bottle product name', 0.042593068089978446), ('remote control', 0.026821794181034482), ('netflix button', 0.026821794181034482), ('game cards', 0.02646821120689655), ('game chips', 0.02646821120689655), ('ice bucket', 0.02550848599137931), ('champagne bottle', 0.02550848599137931), ('modern computer processor cooler', 0.023993130387931036)]"
57,57,"[('green', 0.10708353470782844), ('red', 0.04947047330895249), ('abstract', 0.04623350805165816), ('grass', 0.04276555898238202), ('vector', 0.04143820003587372), ('light', 0.036562394122688135), ('white', 0.036312492526307395), ('pink', 0.03117899992028061)]","[('long uncut green grass', 0.020876514668367346), ('green grass shutterstock vector', 0.019242267219387755), ('blue sky', 0.012680365114795918), ('green grass', 0.010290029097576531), ('white green utensils', 0.009690888073979591), ('emerald green halloween cape custom superhero fancy dress capes', 0.009626116071428572), ('super hero capes', 0.009626116071428572), ('jpeg superherocapes co uk', 0.009626116071428572)]"
64,64,"[('swatch', 0.3177490234375), ('carpet', 0.3177490234375), ('warmth', 0.2181396484375), ('sheep', 0.2181396484375), ('fuzzy', 0.2181396484375), ('evoking', 0.2181396484375), ('fawn', 0.20068359375), ('essay', 0.20068359375)]","[('warmth carpet fuzzy sheep swatch', 0.2181396484375), ('carpet fawn swatch', 0.20068359375), ('essay ii', 0.20068359375), ('artisan carpet wensleydale swatch', 0.1773681640625), ('saltillo sarape', 0.16845703125), ('mexican flag colors', 0.16845703125), ('carpet denim swatch', 0.099609375), ('star weekend iii', 0.08160400390625)]"
88,88,"[('large', 0.220947265625), ('hanging', 0.220947265625), ('heart', 0.220947265625), ('wall', 0.220947265625), ('extra', 0.220947265625), ('listing', 0.1474609375), ('wire', 0.1474609375), ('multi', 0.1474609375)]","[('extra large grey willow wall', 0.220947265625), ('brass woven mesh', 0.1474609375), ('fretwork screen', 0.1463623046875), ('decor accessories fretwork screen', 0.1463623046875), ('woven screen', 0.1463623046875), ('brass woven metal wire mesh fabric', 0.14013671875), ('art design product', 0.14013671875), ('top fence panel', 0.1268310546875)]"
94,94,"[('comment', 0.1689453125), ('facebook', 0.1689453125), ('flag', 0.1689453125), ('antigua', 0.1689453125), ('myspace', 0.1689453125), ('barbuda', 0.1689453125), ('friendster', 0.1689453125), ('manager', 0.1243896484375)]","[('antigua barbuda flag myspace friendster facebook', 0.1689453125), ('google music manager taskbar', 0.1243896484375), ('andorra flag myspace friendster facebook', 0.117919921875), ('anguilla flag myspace friendster facebook', 0.1151123046875), ('armenia flag myspace friendster facebook', 0.10052490234375)]"
99,99,"[('white', 0.056254218606387865), ('black', 0.04362326229319853), ('bird', 0.03818879968979779), ('blue', 0.03436494715073529), ('bay', 0.0322265625), ('brown', 0.030459056181066178), ('header', 0.030305929744944855), ('shark', 0.027752326516544117)]","[('turnstone header', 0.019221047794117648), ('water web', 0.019193043428308822), ('river rapids', 0.015425379136029411), ('ikhana drone', 0.01123046875), ('mobile control center', 0.01123046875), ('remote missions', 0.01123046875), ('edwards air force base', 0.01123046875), ('phalarope non', 0.011167279411764706)]"
109,109,"[('black', 0.06703849460767664), ('blue', 0.038187109905740486), ('standing', 0.0361328125), ('beautiful', 0.032990828804347824), ('head', 0.031918733016304345), ('green', 0.030800197435461956), ('water', 0.029381793478260868), ('young', 0.027741805366847828)]","[('blue natural gas flame', 0.021548063858695652), ('household stove', 0.021548063858695652), ('natural gas', 0.021548063858695652), ('black photos', 0.021548063858695652), ('gas burner', 0.021325152853260868), ('gas stove', 0.021176545516304348), ('beautiful blue green flame', 0.021176545516304348), ('blue flame', 0.020911175271739132)]"
112,112,"[('larger', 0.37158203125), ('crepe', 0.37158203125), ('supply', 0.37158203125), ('streamer', 0.37158203125), ('click', 0.37158203125), ('lavender', 0.37158203125), ('party', 0.37158203125), ('purple', 0.35791015625)]","[('party supplies', 0.37158203125), ('lavender crepe streamer', 0.37158203125), ('item price', 0.35791015625), ('purple white party straws', 0.327880859375), ('candy stripes lavender', 0.327880859375), ('purple crepe streamer', 0.263427734375)]"
119,119,"[('reveals', 0.420654296875), ('durango', 0.420654296875), ('racetrack', 0.420654296875), ('dodge', 0.420654296875), ('taillight', 0.420654296875), ('teaser', 0.420654296875), ('illuminated', 0.315185546875), ('taillamps', 0.315185546875)]","[('dodge durango teaser reveals racetrack taillights', 0.420654296875), ('dodge durango teaser taillamps', 0.315185546875), ('dodge challenger srt demon', 0.19287109375), ('rear end teaser', 0.19287109375), ('killzone shadow fall', 0.1416015625)]"
120,120,"[('gorilla', 0.2654622395833333), ('imprisoned', 0.2654622395833333), ('sad', 0.2654622395833333), ('bar', 0.2654622395833333), ('caged', 0.2654622395833333), ('eye', 0.2654622395833333), ('farm', 0.2586263020833333), ('bile', 0.2586263020833333)]","[('sad eyes', 0.2654622395833333), ('bile farm', 0.2586263020833333), ('bile trade', 0.24853515625), ('animals asia', 0.24853515625), ('vietnams government', 0.24853515625), ('vietnam sanctuary', 0.24853515625), ('black bears', 0.24853515625), ('high land dispute', 0.24853515625)]"
126,126,"[('transparent', 0.014856604842452315), ('glass', 0.009481962736662443), ('buy', 0.007262449006776552), ('rod', 0.007090396709270305), ('brush', 0.007000845831793708), ('light', 0.006266164350080061), ('fiber', 0.005865208737485044), ('pencil', 0.0057689305898305536)]","[('transparent feather pen', 0.0035507614548141893), ('center transparent', 0.0029939531206010696), ('winter male', 0.0028295302176260732), ('waist leather', 0.0028295302176260732), ('slim leather pants boot jeans fashion elastic', 0.0028295302176260732), ('oliberte com coupon codes', 0.001903637035472973), ('thin sun protection clothing outerwear', 0.0017961167000435493), ('loose ultra', 0.0017961167000435493)]"
