neuron,concept,concept_id,metric
0,tench,n01440764,0.9990
1,goldfish,n01443537,0.9990
2,great white shark,n01484850,0.9994
3,great white shark,n01484850,0.9985
4,hammerhead,n01494475,0.9982
5,electric ray,n01496331,0.9982
6,stingray,n01498041,0.9977
7,cock,n01514668,0.9996
8,hen,n01514859,0.9987
9,ostrich,n01518878,0.9998
10,brambling,n01530575,0.9991
11,goldfinch,n01531178,0.9997
12,house finch,n01532829,0.9982
13,junco,n01534433,0.9995
14,indigo bunting,n01537544,0.9991
15,robin,n01558993,0.9991
16,bulbul,n01560419,0.9994
17,jay,n01580077,0.9994
18,magpie,n01582220,0.9978
19,chickadee,n01592084,0.9996
20,water ouzel,n01601694,0.9995
21,kite,n01608432,0.9983
22,bald eagle,n01614925,0.9990
23,vulture,n01616318,0.9949
24,great grey owl,n01622779,0.9982
25,european fire salamander,n01629819,0.9995
26,common newt,n01630670,0.9959
27,eft,n01631663,0.9995
28,spotted salamander,n01632458,0.9994
29,axolotl,n01632777,0.9985
30,bullfrog,n01641577,0.9995
31,tree frog,n01644373,0.9988
32,bullfrog,n01641577,0.9967
33,leatherback turtle,n01665541,0.9959
34,leatherback turtle,n01665541,0.9976
35,mud turtle,n01667114,0.9990
36,mud turtle,n01667114,0.9981
37,box turtle,n01669191,0.9990
38,banded gecko,n01675722,0.9987
39,common iguana,n01677366,0.9967
40,green lizard,n01693334,0.9967
41,whiptail,n01685808,0.9964
42,agama,n01687978,0.9987
43,frilled lizard,n01688243,0.9977
44,alligator lizard,n01689811,0.9967
45,gila monster,n01692333,0.9998
46,green lizard,n01693334,0.9974
47,african chameleon,n01694178,0.9986
48,komodo dragon,n01695060,0.9996
49,african crocodile,n01697457,0.9968
50,american alligator,n01698640,0.9974
51,triceratops,n01704323,0.9997
52,thunder snake,n01728572,0.9967
53,ringneck snake,n01728920,0.9986
54,diamondback,n01755581,0.9951
55,green snake,n01729977,0.9992
56,king snake,n01734418,0.9941
57,garter snake,n01735189,0.9986
58,water snake,n01737021,0.9942
59,green snake,n01729977,0.9978
60,diamondback,n01755581,0.9937
61,boa constrictor,n01742172,0.9982
62,rock python,n01744401,0.9952
63,indian cobra,n01748264,0.9987
64,green mamba,n01749939,0.9991
65,sea snake,n01751748,0.9969
66,horned viper,n01753488,0.9964
67,diamondback,n01755581,0.9982
68,sidewinder,n01756291,0.9962
69,trilobite,n01768244,0.9998
70,harvestman,n01770081,0.9989
71,scorpion,n01770393,0.9982
72,black and gold garden spider,n01773157,0.9990
73,black and gold garden spider,n01773157,0.9972
74,black and gold garden spider,n01773157,0.9983
75,black widow,n01774384,0.9990
76,tarantula,n01774750,0.9995
77,tarantula,n01774750,0.9967
78,tick,n01776313,0.9916
79,centipede,n01784675,0.9982
80,black grouse,n01795545,0.9983
81,ptarmigan,n01796340,0.9997
82,partridge,n01807496,0.9981
83,prairie chicken,n01798484,0.9995
84,peacock,n01806143,0.9996
85,quail,n01806567,0.9989
86,partridge,n01807496,0.9988
87,african grey,n01817953,0.9991
88,macaw,n01818515,0.9961
89,sulphur-crested cockatoo,n01819313,0.9987
90,lorikeet,n01820546,0.9989
91,coucal,n01824575,0.9987
92,bee eater,n01828970,0.9992
93,hornbill,n01829413,0.9982
94,jacamar,n01843065,0.9987
95,jacamar,n01843065,0.9997
96,toucan,n01843383,0.9993
97,drake,n01847000,0.9981
98,red-breasted merganser,n01855032,0.9997
99,goose,n01855672,0.9976
100,black swan,n01860187,0.9998
101,tusker,n01871265,0.9989
102,echidna,n01872401,0.9996
103,platypus,n01873310,0.9995
104,wallaby,n01877812,0.9966
105,koala,n01882714,0.9997
106,wombat,n01883070,0.9973
107,jellyfish,n01910747,0.9997
108,anemone fish,n02607072,0.9978
109,brain coral,n01917289,0.9991
110,flatworm,n01924916,0.9992
111,nematode,n01930112,0.9993
112,conch,n01943899,0.9980
113,snail,n01944390,0.9958
114,slug,n01945685,0.9966
115,sea slug,n01950731,0.9982
116,chiton,n01955084,0.9990
117,chambered nautilus,n01968897,0.9981
118,dungeness crab,n01978287,0.9966
119,rock crab,n01978455,0.9945
120,fiddler crab,n01980166,0.9990
121,king crab,n01981276,0.9977
122,american lobster,n01983481,0.9975
123,spiny lobster,n01984695,0.9990
124,spiny lobster,n01984695,0.9956
125,hermit crab,n01986214,0.9979
126,isopod,n01990800,0.9975
127,white stork,n02002556,0.9981
128,black stork,n02002724,0.9991
129,spoonbill,n02006656,0.9988
130,flamingo,n02007558,0.9998
131,little blue heron,n02009229,0.9995
132,american egret,n02009912,0.9990
133,bittern,n02011460,0.9989
134,crane,n02012849,0.9978
135,limpkin,n02013706,0.9996
136,european gallinule,n02017213,0.9997
137,american coot,n02018207,0.9995
138,bustard,n02018795,0.9987
139,ruddy turnstone,n02025239,0.9993
140,red-backed sandpiper,n02027492,0.9996
141,redshank,n02028035,0.9995
142,dowitcher,n02033041,0.9992
143,oystercatcher,n02037110,0.9992
144,pelican,n02051845,0.9994
145,king penguin,n02056570,0.9998
146,albatross,n02058221,0.9976
147,grey whale,n02066245,0.9987
148,killer whale,n02071294,0.9974
149,dugong,n02074367,0.9989
150,sea lion,n02077923,0.9970
151,chihuahua,n02085620,0.9915
152,japanese spaniel,n02085782,0.9987
153,maltese dog,n02085936,0.9993
154,pekinese,n02086079,0.9974
155,shih-tzu,n02086240,0.9976
156,blenheim spaniel,n02086646,0.9992
157,papillon,n02086910,0.9989
158,toy terrier,n02087046,0.9931
159,rhodesian ridgeback,n02087394,0.9977
160,afghan hound,n02088094,0.9980
161,basset,n02088238,0.9987
162,beagle,n02088364,0.9973
163,bloodhound,n02088466,0.9962
164,bluetick,n02088632,0.9965
165,black-and-tan coonhound,n02089078,0.9942
166,english foxhound,n02089973,0.9968
