neuron,concept,concept_id,metric
0,lhasa,n02098413,0.9336
1,bookshop,n02871525,0.9787
2,crib,n03131574,0.9504
3,great white shark,n01484850,0.9817
4,dial telephone,n03187595,0.9708
5,hoopskirt,n03534580,0.9858
6,pickelhaube,n03929855,0.9677
7,red-breasted merganser,n01855032,0.9831
8,dishrag,n03207743,0.9792
9,eskimo dog,n02109961,0.9449
10,coyote,n02114855,0.9450
11,trombone,n04487394,0.9450
12,black-footed ferret,n02443484,0.9668
13,wild boar,n02396427,0.9492
14,espresso,n07920052,0.9692
15,palace,n03877845,0.9854
16,grocery store,n03461385,0.9668
17,ringlet,n02277742,0.9708
18,hen-of-the-woods,n13052670,0.9894
19,cello,n02992211,0.9831
20,buckeye,n12768682,0.9528
21,snow leopard,n02128757,0.9656
22,bulletproof vest,n02916936,0.9676
23,bullet train,n02917067,0.9680
24,pretzel,n07695742,0.9672
25,bedlington terrier,n02093647,0.9467
26,sea slug,n01950731,0.9847
27,dogsled,n03218198,0.9880
28,ice bear,n02134084,0.9715
29,pomegranate,n07768694,0.9697
30,hourglass,n03544143,0.9747
31,great pyrenees,n02111500,0.9880
32,sports car,n04285008,0.9815
33,odometer,n03841143,0.9796
34,ladybug,n02165456,0.9336
35,snow leopard,n02128757,0.9887
36,barber chair,n02791124,0.9619
37,carbonara,n07831146,0.9833
38,turnstile,n04501370,0.9588
39,boathouse,n02859443,0.9657
40,hourglass,n03544143,0.9629
41,artichoke,n07718747,0.9414
42,sorrel,n02389026,0.9922
43,hartebeest,n02422106,0.9751
44,kimono,n03617480,0.9409
45,ski mask,n04229816,0.9495
46,red wolf,n02114712,0.9537
47,dining table,n03201208,0.9316
48,flamingo,n02007558,0.9590
49,trilobite,n01768244,0.9710
50,african elephant,n02504458,0.9738
51,cheetah,n02130308,0.9868
52,pool table,n03982430,0.9463
53,guillotine,n03467068,0.9708
54,parachute,n03888257,0.9509
55,american coot,n02018207,0.9743
56,great white shark,n01484850,0.9900
57,wood rabbit,n02325366,0.9512
58,proboscis monkey,n02489166,0.9772
59,suit,n04350905,0.9304
60,norwegian elkhound,n02091467,0.9870
61,panpipe,n03884397,0.9543
62,gibbon,n02483362,0.9686
63,thimble,n04423845,0.9672
64,snow leopard,n02128757,0.9665
65,bullfrog,n01641577,0.9784
66,barbershop,n02791270,0.9768
67,acoustic guitar,n02676566,0.9742
68,green mamba,n01749939,0.9898
69,affenpinscher,n02110627,0.9785
70,zebra,n02391049,0.9405
71,vending machine,n04525305,0.9594
72,yellow lady's slipper,n12057211,0.9783
73,chambered nautilus,n01968897,0.9510
74,poncho,n03980874,0.9871
75,steam locomotive,n04310018,0.9908
76,armadillo,n02454379,0.9467
77,mosquito net,n03788365,0.9754
78,gyromitra,n13037406,0.9800
79,shopping cart,n04204347,0.9726
80,pomegranate,n07768694,0.9702
81,go-kart,n03444034,0.9622
82,chickadee,n01592084,0.9712
83,leonberg,n02111129,0.9457
84,jacamar,n01843065,0.9441
85,shopping basket,n04204238,0.9679
86,chambered nautilus,n01968897,0.9704
87,lemon,n07749582,0.9707
88,trailer truck,n04467665,0.9782
89,dining table,n03201208,0.9689
90,turnstile,n04501370,0.9650
91,scabbard,n04141327,0.9338
92,bison,n02410509,0.9874
93,bell pepper,n07720875,0.9690
94,triumphal arch,n04486054,0.9547
95,magnetic compass,n03706229,0.9600
96,car mirror,n02965783,0.9699
97,cliff dwelling,n03042490,0.9868
98,admiral,n02276258,0.9805
99,brassiere,n02892767,0.9210
100,lakeland terrier,n02095570,0.9822
101,great white shark,n01484850,0.9829
102,axolotl,n01632777,0.9757
103,plate,n07579787,0.9769
104,missile,n03773504,0.9705
105,web site,n06359193,0.9603
106,cardigan,n02963159,0.9748
107,pick,n03929660,0.9602
108,hourglass,n03544143,0.9841
109,organ,n03854065,0.9733
110,giant panda,n02510455,0.9866
111,barn,n02793495,0.9693
112,football helmet,n03379051,0.9460
113,web site,n06359193,0.9783
114,jacamar,n01843065,0.9842
115,bald eagle,n01614925,0.9545
116,studio couch,n04344873,0.9782
117,kit fox,n02119789,0.9624
118,cliff dwelling,n03042490,0.9905
119,hoopskirt,n03534580,0.9826
120,water buffalo,n02408429,0.9771
121,desktop computer,n03180011,0.9749
122,sports car,n04285008,0.9608
123,beaver,n02363005,0.9422
124,kerry blue terrier,n02093859,0.9728
125,polecat,n02443114,0.9556
126,oystercatcher,n02037110,0.9470
127,mud turtle,n01667114,0.9458
128,seashore,n09428293,0.9649
129,cock,n01514668,0.9814
130,street sign,n06794110,0.9779
131,yawl,n04612504,0.9688
132,monarch,n02279972,0.9728
133,gondola,n03447447,0.9691
134,cardoon,n07730033,0.9322
135,rhinoceros beetle,n02174001,0.9899
136,bouvier des flandres,n02106382,0.9699
137,agaric,n12998815,0.9901
138,ringneck snake,n01728920,0.9636
139,studio couch,n04344873,0.9568
140,chiffonier,n03016953,0.9664
141,rapeseed,n11879895,0.9818
142,container ship,n03095699,0.9654
143,hand-held computer,n03485407,0.9574
144,piggy bank,n03935335,0.9738
145,goblet,n03443371,0.9649
146,kerry blue terrier,n02093859,0.9914
147,theater curtain,n04418357,0.9582
148,german short-haired pointer,n02100236,0.9701
149,triumphal arch,n04486054,0.9759
150,organ,n03854065,0.9652
151,shopping basket,n04204238,0.9689
152,squirrel monkey,n02494079,0.9774
153,redbone,n02090379,0.9604
154,electric locomotive,n03272562,0.9165
155,sombrero,n04259630,0.9589
156,snow leopard,n02128757,0.9857
157,guinea pig,n02364673,0.9829
158,bison,n02410509,0.9404
159,bedlington terrier,n02093647,0.9857
160,screen,n04152593,0.9914
161,mantis,n02236044,0.9499
162,cocker spaniel,n02102318,0.9757
163,english foxhound,n02089973,0.8676
164,bow,n02879718,0.9479
165,electric locomotive,n03272562,0.9896
166,dogsled,n03218198,0.9685
167,tiger cat,n02123159,0.9567
168,geyser,n09288635,0.9957
169,admiral,n02276258,0.9783
170,spiny lobster,n01984695,0.9895
171,teapot,n04398044,0.9559
172,proboscis monkey,n02489166,0.9613
173,garter snake,n01735189,0.9653
174,electric locomotive,n03272562,0.9613
175,pillow,n03938244,0.9308
176,grille,n03459775,0.9700
177,mountain bike,n03792782,0.9730
178,cardoon,n07730033,0.9879
179,bicycle-built-for-two,n02835271,0.9724
180,jack-o'-lantern,n03590841,0.9837
181,koala,n01882714,0.9817
182,dowitcher,n02033041,0.9688
183,manhole cover,n03717622,0.9754
184,great white shark,n01484850,0.9898
185,dishrag,n03207743,0.9921
186,fountain pen,n03388183,0.9258
187,yawl,n04612504,0.9520
188,typewriter keyboard,n04505470,0.9760
189,zebra,n02391049,0.9936
190,tractor,n04465501,0.9663
191,school bus,n04146614,0.9966
192,carton,n02971356,0.9562
193,wing,n04592741,0.9765
194,barber chair,n02791124,0.9728
195,flamingo,n02007558,0.9658
196,cuirass,n03146219,0.9764
197,parallel bars,n03888605,0.9381
198,refrigerator,n04070727,0.9501
199,moped,n03785016,0.9790
200,jack-o'-lantern,n03590841,0.9719
