neuron,concept,concept_id,metric
0,nursery,240,0.9276
1,courthouse,108,0.9413
2,"jacuzzi, indoor",195,0.9641
3,shower,303,0.9636
4,"general store, outdoor",161,0.9536
5,bamboo forest,36,0.9967
6,waterfall,355,0.9606
7,"mosque, outdoor",230,0.9666
8,ball pit,34,0.9593
9,"atrium, public",25,0.9914
10,burial chamber,69,0.9163
11,"forest, broadleaf",150,0.9068
12,"balcony, interior",33,0.9517
13,phone booth,263,0.9905
14,baseball field,42,0.9398
15,bedchamber,51,0.9919
16,soccer field,310,0.9230
17,gas station,158,0.9620
18,biology laboratory,56,0.9601
19,"bow window, indoor",63,0.9491
20,home office,176,0.9510
21,boxing ring,65,0.9969
22,carrousel,83,0.8847
23,landing deck,207,0.9928
24,art gallery,19,0.9108
25,elevator shaft,131,0.9572
26,fire escape,143,0.9459
27,baseball field,42,0.9737
28,vineyard,349,0.9640
29,"mosque, outdoor",230,0.9645
30,staircase,317,0.9731
31,gas station,158,0.9828
32,crevasse,111,0.9667
33,army base,18,0.9907
34,youth hostel,363,0.9650
35,discotheque,122,0.9896
36,raft,277,0.9105
37,skyscraper,307,0.9494
38,wheat field,359,0.9565
39,operating room,248,0.9773
40,burial chamber,69,0.9747
41,baseball field,42,0.9665
42,train interior,336,0.9073
43,raceway,276,0.9913
44,zen garden,364,0.9314
45,computer room,100,0.9719
46,barndoor,41,0.9492
47,forest path,151,0.9631
48,bus interior,70,0.9774
49,nursing home,241,0.9676
50,"forest, broadleaf",150,0.8645
51,raft,277,0.9497
52,crosswalk,112,0.9827
53,"bow window, indoor",63,0.9370
54,"canal, urban",79,0.9792
55,"swimming pool, indoor",325,0.9842
56,toyshop,335,0.9748
57,crevasse,111,0.9545
58,computer room,100,0.9659
59,"booth, indoor",61,0.9250
60,"church, indoor",90,0.9657
61,operating room,248,0.9154
62,car interior,82,0.9325
63,airport terminal,2,0.9434
64,gas station,158,0.9629
65,pagoda,251,0.9444
66,reception,280,0.8881
67,kasbah,200,0.9860
68,rope bridge,291,0.9464
69,swimming hole,324,0.9737
70,gas station,158,0.9812
71,martial arts gym,225,0.9724
72,"greenhouse, outdoor",166,0.8838
73,shoe shop,300,0.9896
74,windmill,361,0.9800
75,food court,148,0.9310
76,barndoor,41,0.9604
77,carrousel,83,0.9505
78,bookstore,60,0.9848
79,"arena, hockey",15,0.9990
80,auto showroom,29,0.8535
81,"parking garage, indoor",255,0.9614
82,carrousel,83,0.9710
83,physics laboratory,264,0.9227
84,raft,277,0.9595
85,"basketball court, indoor",44,0.9693
