neuron,concept,concept_id,metric
0,cheetah,n02130308,0.9700
1,bassoon,n02804610,0.9708
2,ringneck snake,n01728920,0.9444
3,saltshaker,n04131690,0.9518
4,cardoon,n07730033,0.9662
5,hotdog,n07697537,0.9448
6,mexican hairless,n02113978,0.9907
7,radio telescope,n04044716,0.9602
8,mountain tent,n03792972,0.9719
9,lacewing,n02264363,0.9687
10,axolotl,n01632777,0.9714
11,brambling,n01530575,0.9609
12,stretcher,n04336792,0.9327
13,ringneck snake,n01728920,0.9789
14,lacewing,n02264363,0.9818
15,pot,n03991062,0.9635
16,chickadee,n01592084,0.9629
17,red-breasted merganser,n01855032,0.9805
18,lionfish,n02643566,0.9832
19,otterhound,n02091635,0.9725
20,flatworm,n01924916,0.9453
21,missile,n03773504,0.9459
22,indian elephant,n02504013,0.9470
23,triceratops,n01704323,0.9798
24,peacock,n01806143,0.9893
25,guinea pig,n02364673,0.9524
26,fiddler crab,n01980166,0.9547
27,toy poodle,n02113624,0.9627
28,ambulance,n02701002,0.9695
29,spotted salamander,n01632458,0.9531
30,pekinese,n02086079,0.9409
31,strawberry,n07745940,0.9541
32,crock pot,n03133878,0.9798
33,web site,n06359193,0.9448
34,white stork,n02002556,0.9427
35,sorrel,n02389026,0.9661
36,crib,n03131574,0.9374
37,cock,n01514668,0.9563
38,cliff dwelling,n03042490,0.9772
39,jay,n01580077,0.9717
40,leafhopper,n02259212,0.9415
41,lacewing,n02264363,0.9684
42,water ouzel,n01601694,0.9406
43,whiptail,n01685808,0.9499
44,bikini,n02837789,0.9371
45,steel arch bridge,n04311004,0.9818
46,bulbul,n01560419,0.9416
47,gila monster,n01692333,0.9727
48,snowmobile,n04252077,0.9346
49,brown bear,n02132136,0.9608
50,lacewing,n02264363,0.9576
51,mosque,n03788195,0.9628
52,sealyham terrier,n02095889,0.9670
53,liner,n03673027,0.9583
54,racer,n04037443,0.9574
55,daisy,n11939491,0.9790
56,leafhopper,n02259212,0.9782
57,digital watch,n03197337,0.9508
58,gown,n03450230,0.9435
59,macaw,n01818515,0.9750
60,oystercatcher,n02037110,0.9758
61,robin,n01558993,0.9580
62,monarch,n02279972,0.9769
63,flagpole,n03355925,0.9493
64,container ship,n03095699,0.9729
65,teapot,n04398044,0.9634
66,flagpole,n03355925,0.9512
67,cello,n02992211,0.9519
68,hyena,n02117135,0.9626
69,rhinoceros beetle,n02174001,0.9587
70,banded gecko,n01675722,0.9557
71,miniature schnauzer,n02097047,0.9255
72,puffer,n02655020,0.9557
73,sloth bear,n02134418,0.9462
74,papillon,n02086910,0.9741
75,lionfish,n02643566,0.9699
76,hay,n07802026,0.9527
77,red-breasted merganser,n01855032,0.9625
78,lionfish,n02643566,0.9609
79,coyote,n02114855,0.9870
80,hippopotamus,n02398521,0.9792
81,buckeye,n12768682,0.9614
82,admiral,n02276258,0.9679
83,harvestman,n01770081,0.9638
84,snow leopard,n02128757,0.9279
85,hotdog,n07697537,0.9480
86,centipede,n01784675,0.9382
87,tiger,n02129604,0.9775
88,tabby,n02123045,0.9464
89,junco,n01534433,0.9831
90,zebra,n02391049,0.9477
91,armadillo,n02454379,0.9443
92,little blue heron,n02009229,0.9700
93,american alligator,n01698640,0.9571
94,cucumber,n07718472,0.9436
95,printer,n04004767,0.9469
96,sea cucumber,n02321529,0.9478
97,arabian camel,n02437312,0.9560
98,echidna,n01872401,0.9471
99,screen,n04152593,0.9414
100,spotted salamander,n01632458,0.9498
101,komodo dragon,n01695060,0.9587
102,lacewing,n02264363,0.9772
103,keeshond,n02112350,0.9468
104,lionfish,n02643566,0.9497
105,siamese cat,n02123597,0.9368
106,porcupine,n02346627,0.9585
107,sea slug,n01950731,0.9682
108,llama,n02437616,0.9806
109,hay,n07802026,0.9702
110,wolf spider,n01775062,0.9681
111,four-poster,n03388549,0.9652
112,white wolf,n02114548,0.9497
113,megalith,n03743016,0.9549
114,snow leopard,n02128757,0.9695
115,junco,n01534433,0.9662
116,damselfly,n02268853,0.9358
117,siamese cat,n02123597,0.9621
118,red-backed sandpiper,n02027492,0.9690
119,snowplow,n04252225,0.9673
120,bullfrog,n01641577,0.9700
121,robin,n01558993,0.9737
122,proboscis monkey,n02489166,0.9615
123,gila monster,n01692333,0.9663
124,porcupine,n02346627,0.9365
125,container ship,n03095699,0.9481
126,german shepherd,n02106662,0.9597
127,scuba diver,n10565667,0.9361
128,limpkin,n02013706,0.9809
129,convertible,n03100240,0.9683
130,leonberg,n02111129,0.9781
131,echidna,n01872401,0.9787
132,convertible,n03100240,0.9532
133,yellow lady's slipper,n12057211,0.9576
134,tiger shark,n01491361,0.9638
135,mountain tent,n03792972,0.9623
136,vending machine,n04525305,0.9298
137,indian elephant,n02504013,0.9735
138,mashed potato,n07711569,0.9557
139,goldfinch,n01531178,0.9473
140,irish water spaniel,n02102973,0.9650
141,teapot,n04398044,0.9600
142,granny smith,n07742313,0.9578
143,daisy,n11939491,0.9594
144,madagascar cat,n02497673,0.9701
145,triceratops,n01704323,0.9564
146,pinwheel,n03944341,0.9576
147,corkscrew,n03109150,0.9585
148,marmot,n02361337,0.9588
149,tiger beetle,n02165105,0.9303
150,hamster,n02342885,0.9550
151,chickadee,n01592084,0.9741
152,white stork,n02002556,0.9598
153,mexican hairless,n02113978,0.9574
154,bulbul,n01560419,0.9901
155,common iguana,n01677366,0.9332
156,gorilla,n02480855,0.9494
157,fly,n02190166,0.9733
158,giant panda,n02510455,0.9585
159,pool table,n03982430,0.9523
160,old english sheepdog,n02105641,0.9668
161,french loaf,n07684084,0.9589
162,bulbul,n01560419,0.9566
163,flamingo,n02007558,0.9467
164,totem pole,n04458633,0.9406
165,garbage truck,n03417042,0.9470
166,hornbill,n01829413,0.9699
167,stopwatch,n04328186,0.9521
168,timber wolf,n02114367,0.9649
169,hornbill,n01829413,0.9622
170,home theater,n03529860,0.9606
171,green mamba,n01749939,0.9645
172,police van,n03977966,0.9549
173,jack-o'-lantern,n03590841,0.9638
174,king penguin,n02056570,0.9812
175,electric locomotive,n03272562,0.9479
176,sewing machine,n04179913,0.9695
177,garter snake,n01735189,0.9501
178,old english sheepdog,n02105641,0.9629
179,jean,n03594734,0.9466
180,squirrel monkey,n02494079,0.9722
181,shih-tzu,n02086240,0.9557
182,yorkshire terrier,n02094433,0.9680
183,spotted salamander,n01632458,0.9546
184,armadillo,n02454379,0.9939
185,white wolf,n02114548,0.9722
186,crib,n03131574,0.9691
187,tiger beetle,n02165105,0.9714
188,dumbbell,n03255030,0.9805
189,teapot,n04398044,0.9666
190,minibus,n03769881,0.9467
191,afghan hound,n02088094,0.9729
192,frilled lizard,n01688243,0.9608
193,koala,n01882714,0.9782
194,african hunting dog,n02116738,0.9798
195,saint bernard,n02109525,0.9899
196,border collie,n02106166,0.9807
197,corkscrew,n03109150,0.9698
198,little blue heron,n02009229,0.9759
199,throne,n04429376,0.9686
200,hen,n01514859,0.9532
201,african hunting dog,n02116738,0.9867
202,soft-coated wheaten terrier,n02098105,0.9529
203,guenon,n02484975,0.9566
204,standard poodle,n02113799,0.9578
205,totem pole,n04458633,0.9714
206,brittany spaniel,n02101388,0.9502
207,gyromitra,n13037406,0.9420
208,ballplayer,n09835506,0.9607
209,junco,n01534433,0.9603
210,black swan,n01860187,0.9536
211,axolotl,n01632777,0.9815
212,ashcan,n02747177,0.9340
213,red-breasted merganser,n01855032,0.9658
214,harvestman,n01770081,0.9488
215,kit fox,n02119789,0.9401
216,groenendael,n02105056,0.9301
217,oystercatcher,n02037110,0.9746
218,bulbul,n01560419,0.9755
219,pug,n02110958,0.9703
220,gyromitra,n13037406,0.9335
221,bib,n02834397,0.9482
222,pick,n03929660,0.9427
223,jay,n01580077,0.9768
224,siamese cat,n02123597,0.9536
225,goldfish,n01443537,0.9625
226,pirate,n03947888,0.9572
227,liner,n03673027,0.9656
228,brittany spaniel,n02101388,0.9694
229,koala,n01882714,0.9727
230,bouvier des flandres,n02106382,0.9610
231,hornbill,n01829413,0.9573
232,radio telescope,n04044716,0.9323
233,great grey owl,n01622779,0.9803
234,french bulldog,n02108915,0.9313
235,horned viper,n01753488,0.9786
236,microwave,n03761084,0.9525
237,mexican hairless,n02113978,0.9861
238,shetland sheepdog,n02105855,0.9590
239,hippopotamus,n02398521,0.9702
240,otter,n02444819,0.9588
241,dogsled,n03218198,0.9371
242,scottish deerhound,n02092002,0.9646
243,plate rack,n03961711,0.9522
244,whiptail,n01685808,0.9542
245,irish setter,n02100877,0.9817
246,dogsled,n03218198,0.9430
247,coyote,n02114855,0.9774
248,dowitcher,n02033041,0.9920
249,maillot,n03710721,0.9411
250,admiral,n02276258,0.9623
251,steam locomotive,n04310018,0.9865
252,american coot,n02018207,0.9775
253,airedale,n02096051,0.9677
254,hyena,n02117135,0.9747
255,lemon,n07749582,0.9277
256,magnetic compass,n03706229,0.9671
257,dowitcher,n02033041,0.9681
258,beer glass,n02823750,0.9411
259,plastic bag,n03958227,0.9292
260,hummingbird,n01833805,0.9392
261,pirate,n03947888,0.9613
262,squirrel monkey,n02494079,0.9698
263,shih-tzu,n02086240,0.9684
264,sorrel,n02389026,0.9556
265,ringlet,n02277742,0.9554
266,sea lion,n02077923,0.9674
267,arctic fox,n02120079,0.9557
268,ox,n02403003,0.9808
269,green lizard,n01693334,0.9479
270,old english sheepdog,n02105641,0.9675
271,lesser panda,n02509815,0.9521
272,baseball,n02799071,0.9655
273,pomegranate,n07768694,0.9674
274,hyena,n02117135,0.9461
275,steel arch bridge,n04311004,0.9403
276,irish wolfhound,n02090721,0.9492
277,american black bear,n02133161,0.9444
278,hippopotamus,n02398521,0.9635
279,earthstar,n13044778,0.9663
280,mortarboard,n03787032,0.9495
281,sussex spaniel,n02102480,0.9573
282,boston bull,n02096585,0.9459
283,echidna,n01872401,0.9630
284,four-poster,n03388549,0.9428
285,meerkat,n02138441,0.9945
286,vizsla,n02100583,0.9387
287,saint bernard,n02109525,0.9836
288,thatch,n04417672,0.9297
289,spoonbill,n02006656,0.9431
290,black stork,n02002724,0.9638
291,beer glass,n02823750,0.9569
292,plastic bag,n03958227,0.9213
293,gordon setter,n02101006,0.9534
294,redshank,n02028035,0.9603
295,pitcher,n03950228,0.9521
296,toucan,n01843383,0.9464
297,brown bear,n02132136,0.9518
298,crock pot,n03133878,0.9321
299,police van,n03977966,0.9375
300,cheetah,n02130308,0.9709
301,speedboat,n04273569,0.9586
302,volcano,n09472597,0.9482
303,chambered nautilus,n01968897,0.9680
304,warthog,n02397096,0.9462
305,police van,n03977966,0.9513
306,jack-o'-lantern,n03590841,0.9516
307,goldfinch,n01531178,0.9798
308,red-backed sandpiper,n02027492,0.9721
309,pickelhaube,n03929855,0.9583
310,airliner,n02690373,0.9572
311,totem pole,n04458633,0.9648
312,king penguin,n02056570,0.9938
313,steam locomotive,n04310018,0.9823
314,mitten,n03775071,0.9594
315,airliner,n02690373,0.9355
316,gasmask,n03424325,0.9572
317,scoreboard,n04149813,0.9472
318,goldfinch,n01531178,0.9646
319,plastic bag,n03958227,0.9225
320,bottlecap,n02877765,0.9605
321,fox squirrel,n02356798,0.9401
322,maltese dog,n02085936,0.9648
323,hare,n02326432,0.9694
324,go-kart,n03444034,0.9652
325,silky terrier,n02097658,0.9708
326,china cabinet,n03018349,0.9491
327,otter,n02444819,0.9595
328,plastic bag,n03958227,0.9152
329,border collie,n02106166,0.9593
330,throne,n04429376,0.9604
331,red-breasted merganser,n01855032,0.9601
332,pelican,n02051845,0.9784
333,ox,n02403003,0.9489
334,jack-o'-lantern,n03590841,0.9483
335,pembroke,n02113023,0.9611
336,howler monkey,n02492660,0.9644
337,oscilloscope,n03857828,0.9609
338,tiger beetle,n02165105,0.9661
339,panpipe,n03884397,0.9510
340,robin,n01558993,0.9696
341,great grey owl,n01622779,0.9880
342,platypus,n01873310,0.9617
343,sealyham terrier,n02095889,0.9778
344,koala,n01882714,0.9964
345,leonberg,n02111129,0.9755
346,fly,n02190166,0.9319
347,albatross,n02058221,0.9663
348,damselfly,n02268853,0.9588
349,cheeseburger,n07697313,0.9726
350,ram,n02412080,0.9661
351,magpie,n01582220,0.9475
352,airship,n02692877,0.9646
353,petri dish,n03920288,0.9408
354,limpkin,n02013706,0.9711
355,freight car,n03393912,0.9254
356,axolotl,n01632777,0.9441
357,ambulance,n02701002,0.9591
358,bagel,n07693725,0.9542
359,black swan,n01860187,0.9918
360,rhinoceros beetle,n02174001,0.9747
361,fire engine,n03345487,0.9810
362,great white shark,n01484850,0.9376
363,brown bear,n02132136,0.9675
364,flamingo,n02007558,0.9441
365,boston bull,n02096585,0.9379
366,water snake,n01737021,0.9314
367,madagascar cat,n02497673,0.9734
368,wire-haired fox terrier,n02095314,0.9380
369,junco,n01534433,0.9889
370,steam locomotive,n04310018,0.9677
371,baboon,n02486410,0.9811
372,lion,n02129165,0.9606
373,beagle,n02088364,0.9382
374,samoyed,n02111889,0.9686
375,black swan,n01860187,0.9586
376,crane,n02012849,0.9586
377,tow truck,n04461696,0.9527
378,palace,n03877845,0.9513
379,brittany spaniel,n02101388,0.9494
380,scuba diver,n10565667,0.9747
381,coyote,n02114855,0.9657
382,american black bear,n02133161,0.9717
383,mantis,n02236044,0.9448
384,stinkhorn,n13040303,0.9486
385,bald eagle,n01614925,0.9588
386,killer whale,n02071294,0.9433
387,german short-haired pointer,n02100236,0.9811
388,sturgeon,n02640242,0.9881
389,hammerhead,n01494475,0.9637
390,cello,n02992211,0.9510
391,armadillo,n02454379,0.9441
392,four-poster,n03388549,0.9511
