layer,unit,description
avgpool,0,Grids
avgpool,1,Bookcases
avgpool,2,Straight lines
avgpool,3,Sharks and underwater animals
avgpool,4,Rounded edges in pictures
avgpool,5,Dresses
avgpool,6,Edges of objects
avgpool,7,Bodies of water
avgpool,8,Items with designs
avgpool,9,Dogs and other animals
avgpool,10,Rounded edges in pictures
avgpool,11,Edges of objects
avgpool,12,Animals
avgpool,13,Food
avgpool,14,Edges of objects
avgpool,15,Organs and arches
avgpool,16,Red and yellow objects
avgpool,17,Nature
avgpool,18,Coral and food
avgpool,19,Black and white colored objects
avgpool,20,Round objects
avgpool,21,Living things
avgpool,22,Electronics
avgpool,23,Speedometer and electronics
avgpool,24,Specific patterns
avgpool,25,Edges of objects
avgpool,26,Food
avgpool,27,Nature
avgpool,28,"Nature, animal"
avgpool,29,Red colored objects
avgpool,30,Edges of objects
avgpool,31,Animals
avgpool,32,Vehicles
avgpool,33,Written text
avgpool,34,Black and white colored objects
avgpool,35,Animal fur
avgpool,36,Vertical lines
avgpool,37,"Food, coral and manhole covers"
avgpool,38,Vertical lines
avgpool,39,Bodies of water
avgpool,40,Dresses
avgpool,41,Diagonal lines
avgpool,42,Dog ears
avgpool,43,Nature
avgpool,44,Edges of objects
avgpool,45,Faces of people
avgpool,46,Cages
avgpool,47,Edges of objects
avgpool,48,Items that are knitted and cheetahs
avgpool,49,Textured areas
avgpool,50,Regions with straight features
avgpool,51,Animal fur
avgpool,52,Balls
avgpool,53,Metal objects
avgpool,54,Nature
avgpool,55,Animals
avgpool,56,Water
avgpool,57,Similar color patterns
avgpool,58,Green areas in picture
avgpool,59,Edges of objects
avgpool,60,Animal
avgpool,61,Edges of objects
avgpool,62,Body parts
avgpool,63,Circular objects
avgpool,64,Edges of objects
avgpool,65,Nature
avgpool,66,Cluster of objects
avgpool,67,Vertical lines
avgpool,68,Green areas in picture
avgpool,69,Animals
avgpool,70,Tennis racket
avgpool,71,Rounded edges in pictures
avgpool,72,Red and orange objects
avgpool,73,Circular objects
avgpool,74,Clothing
avgpool,75,Edges of objects
avgpool,76,Patterned objects
avgpool,77,Items with straight features
avgpool,78,Textured areas
avgpool,79,Items with straight features
avgpool,80,Red areas in picture
avgpool,81,The bottom of objects
avgpool,82,Edges of objects
avgpool,83,People and dogs
avgpool,84,Furniture
avgpool,85,Diagonal lines
avgpool,86,"Aquatic life, food"
avgpool,87,"Fruit, food"
avgpool,88,Vehicles
avgpool,89,Edges of objects
avgpool,90,Edges of objects
avgpool,91,Diagonal lines
avgpool,92,Animals
avgpool,93,Orange and yellow objects
avgpool,94,Vertical line pattern on objects
avgpool,95,Rounded edges in pictures
avgpool,96,Windows
avgpool,97,People and buildings
avgpool,98,Dog ears
avgpool,99,Patterned objects
avgpool,100,Edges of objects
avgpool,101,Nature
avgpool,102,Nature
avgpool,103,Edges of objects
avgpool,104,Airplanes
avgpool,105,Text on a web page
avgpool,106,People
avgpool,107,Edges of objects
avgpool,108,Edges of objects
avgpool,109,Edges of objects
avgpool,110,Animal heads
avgpool,111,Diagonal lines
avgpool,112,Edges of objects
avgpool,113,Written text
avgpool,114,"Person, food"
avgpool,115,Dogs and people
avgpool,116,Furniture
avgpool,117,White backgrounds
avgpool,118,"Food, building"
avgpool,119,Dresses
avgpool,120,The ground
avgpool,121,Keyboards
avgpool,122,Round objects
avgpool,123,Layered places
avgpool,124,Fur of animals
avgpool,125,Faces
avgpool,126,Rounded edges in pictures
avgpool,127,Animal
avgpool,128,Regions with straight features
avgpool,129,Edges of objects
avgpool,130,Sign boards with text in it
avgpool,131,Diagonal lines
avgpool,132,Diagonal lines
avgpool,133,Birds
avgpool,134,Red and white colored objects
avgpool,135,Bugs
avgpool,136,Rounded edges in pictures
avgpool,137,Edges of objects
avgpool,138,Edges of objects
avgpool,139,Regions with straight features
avgpool,140,Furniture
avgpool,141,Yellow areas in pictures
avgpool,142,Nature
avgpool,143,Edges of objects
avgpool,144,Rounded edges in pictures
avgpool,145,Round edges on objects
avgpool,146,Fur of animals
avgpool,147,Fire
avgpool,148,Faces of things
avgpool,149,Nature
avgpool,150,Items with designs
avgpool,151,Edges of objects
avgpool,152,"Person, animal"
avgpool,153,"Animal, person"
avgpool,154,The middle of objects
avgpool,155,Circular objects
avgpool,156,Animal fur
avgpool,157,Animals
avgpool,158,Food
avgpool,159,Animals
avgpool,160,The bottoms of objects
avgpool,161,Nature
avgpool,162,Edges of objects
avgpool,163,Black and white colored objects
avgpool,164,Diagonal lines
avgpool,165,Rounded edges in pictures
avgpool,166,The ground
avgpool,167,Edges of objects
avgpool,168,"Gusher of water, water"
avgpool,169,Circles
avgpool,170,Nature
avgpool,171,Rounded edges in pictures
avgpool,172,Edges of objects
avgpool,173,Animal
avgpool,174,Edges of objects
avgpool,175,Similar color patterns
avgpool,176,Diagonal lines
avgpool,177,Motorcycles
avgpool,178,Pineapples and flowers
avgpool,179,Diagonal lines
avgpool,180,Orange and yellow areas
avgpool,181,Food
avgpool,182,Landscapes
avgpool,183,Items with designs
avgpool,184,"Animals, people and the sky"
avgpool,185,Pink carpet
avgpool,186,Edges of objects
avgpool,187,Edges of objects
avgpool,188,Keyboard and keyboards
avgpool,189,Similar color patterns
avgpool,190,Diagonal lines
avgpool,191,Orange colored objects
avgpool,192,Edges of objects
avgpool,193,Airplanes
avgpool,194,Edges of objects
avgpool,195,Edges of objects
avgpool,196,Items with designs
avgpool,197,Straight lines
avgpool,198,Edges of objects
avgpool,199,Round edges on objects
avgpool,200,Rounded edges in pictures
avgpool,201,Edges of objects
avgpool,202,Grass
avgpool,203,Diagonal lines
avgpool,204,Grass
avgpool,205,Stripes
avgpool,206,Edges of objects
avgpool,207,Edges of objects
avgpool,208,Vertical line pattern on objects
avgpool,209,"Plant life, insects"
avgpool,210,Circular objects
avgpool,211,The left side of objects
avgpool,212,Dog ears
avgpool,213,Items with straight features
avgpool,214,Nature
avgpool,215,Similar color patterns
avgpool,216,Electronics
avgpool,217,Animals
avgpool,218,Spotted areas in picture
avgpool,219,Clothing
avgpool,220,Rounded edges in pictures
avgpool,221,Grass
avgpool,222,Keyboards
avgpool,223,Striped objects
avgpool,224,Food
avgpool,225,Rounded edges in pictures
avgpool,226,Mountains and mountains
avgpool,227,Round edges on objects
avgpool,228,Animals and grass
avgpool,229,Edges of objects
avgpool,230,Edges of objects
avgpool,231,Edges of objects
avgpool,232,People and animals
avgpool,233,Orange and yellow areas
avgpool,234,Curved lines
avgpool,235,Red and orange objects
avgpool,236,People
avgpool,237,Edges of objects
avgpool,238,Circles
avgpool,239,Black and white colored objects
avgpool,240,Edges of objects
avgpool,241,Dresses
avgpool,242,Dogs and other animals
avgpool,243,Layered places
avgpool,244,Rounded edges in pictures
avgpool,245,Birds
avgpool,246,Edges of objects
avgpool,247,Edges of objects
avgpool,248,Circular objects
avgpool,249,Nature
avgpool,250,Mountains and valleys
avgpool,251,Animals and food
avgpool,252,Vertical line pattern on objects
avgpool,253,Stripes
avgpool,254,Mma fighters
avgpool,255,Nature
avgpool,256,Dogs and other animals
avgpool,257,Green areas in picture
avgpool,258,Rounded edges in pictures
