layer,unit,description
features,0,Items of central focus
features,1,Trees
features,2,Lights
features,3,Vertical lines
features,4,Black and white colored objects
features,5,Landscapes
features,6,Green and brown colored objects
features,7,Water
features,8,Items of central focus
features,9,Food
features,10,Diagonal lines
features,11,"Water, trees, building"
features,12,Buildings
features,13,The sky
features,14,Circular objects
features,15,Buildings
features,16,Green and brown colored objects
features,17,Landscapes
features,18,Waterfalls
features,19,Green grass
features,20,Windows
features,21,Red and white colored objects
features,22,Diagonal lines
features,23,Red and white colored objects
features,24,Lights
features,25,Buildings and plants
features,26,Grass and water
features,27,Flowers
features,28,Vertical lines
features,29,Bright lights
features,30,Nature
features,31,Green and brown colored objects
features,32,Windows
features,33,Red objects
features,34,Head of people
features,35,Buildings
features,36,Bright lights
features,37,Green and brown colored objects
features,38,Poles
features,39,Green and brown colored objects
features,40,Lights
features,41,Items of central focus
features,42,Poles and legs
features,43,Green and brown colored objects
features,44,The ground
features,45,Items of central focus
features,46,Colorful items
features,47,Landscapes
features,48,Top of a building
features,49,Plants
features,50,Green grass
features,51,Landscapes
features,52,Top of a building
features,53,Landscapes
features,54,Food
features,55,Green and brown colored objects
features,56,Vertical lines
features,57,Bright lights
features,58,Heads
features,59,Green and brown colored objects
features,60,Buildings
features,61,Diagonal lines
features,62,Windows
features,63,Areas with straight features
features,64,Top of a building
features,65,Red and white colored objects
features,66,"Building, people"
features,67,Items of central focus
features,68,Windows
features,69,Poles
features,70,Bookcases
features,71,Diagonal lines
features,72,Structures and landscapes
features,73,Areas of central focus
features,74,The sky and the ground
features,75,Top of a building
features,76,Nature
features,77,Waterfalls
features,78,Green and brown colored objects
features,79,Top of a building
features,80,Plants
features,81,Brown colored objects
features,82,Sky and trees
features,83,"Trees, water, people"
features,84,Landscapes
features,85,Items of central focus
features,86,Green and brown colored objects
features,87,Vertical lines
features,88,Plants
features,89,Plants
features,90,Bright yellow colored objects
features,91,Green and brown colored objects
features,92,Views of the mountaintop
features,93,Plants
features,94,"Building, people"
features,95,Bright yellow colored objects
features,96,Items of central focus
features,97,Arched ceilings
features,98,Vertical lines
features,99,Trees
features,100,Walls and floors
features,101,Top of a building
features,102,Wall art
features,103,Black and white colored objects
features,104,Flowers
features,105,Diagonal lines
features,106,Bookcases
features,107,Food
features,108,Landscapes
features,109,Buildings
features,110,Windows
features,111,People
features,112,Buildings and books
features,113,Corners of different places
features,114,Buildings
features,115,Regions with straight features
features,116,Buildings
features,117,Top of a building
features,118,Bright lights
features,119,Items of central focus
features,120,Columns
features,121,Black and white colored objects
features,122,Buildings
features,123,Windows
features,124,Green and brown colored objects
features,125,Green and brown colored objects
features,126,Diagonal lines
features,127,Flowers and flowers
features,128,Brown colored objects
features,129,Top of a building
features,130,Plants
features,131,Columns
features,132,Buildings
features,133,Landscapes
features,134,Top of a building
features,135,Regions with straight features
features,136,Items with patterns
features,137,"Building, people"
features,138,Green grass
features,139,Landscapes
features,140,Green and brown colored objects
features,141,Top of a building
features,142,Green and brown colored objects
features,143,Vertical lines
features,144,Items of central focus
features,145,Black and white colored objects
features,146,Green and brown colored objects
features,147,Plants
features,148,Vertical lines
features,149,Green and brown colored objects
features,150,Black and white colored objects
features,151,Vertical lines
features,152,Vertical lines
features,153,Plants
features,154,Items of central focus
features,155,"Building, people"
features,156,Landscapes
features,157,Lights
features,158,Top of a building
features,159,Circular objects
features,160,Black and white colored objects
features,161,Structures
features,162,Vertical lines
features,163,Items of central focus
features,164,Windows
features,165,Top of a building
features,166,Green grass
features,167,Landscapes
features,168,Vertical lines
features,169,"Building, sky"
features,170,Landscapes
features,171,Items of central focus
features,172,Top of a building
features,173,Yellow and blue colored objects
features,174,Vertical lines
features,175,Green and brown colored objects
features,176,Vertical lines
features,177,Areas around items of central focus and edges
features,178,Green and brown colored objects
features,179,Poles and legs
features,180,Circular objects
features,181,Pink colored objects
features,182,Buildings
features,183,Vertical lines
features,184,Top of a building
features,185,Vertical lines
features,186,Horizontal lines
features,187,Buildings
features,188,Buildings
features,189,Trees
features,190,Waterfalls
features,191,Black and white colored objects
features,192,Bright yellow and yellow things
features,193,Green and brown colored objects
features,194,White colored objects
features,195,Items with patterns
features,196,Bright lights
features,197,Items of central focus
features,198,Items of central focus
features,199,Items of central focus
features,200,Plants
features,201,Top of a building
features,202,Red and white colored objects
features,203,Green grass
features,204,Items of central focus
features,205,Regions with straight features
features,206,Trees
features,207,Buildings
features,208,Black and white photographs
features,209,Poles and legs
features,210,Trees
features,211,Items of central focus
features,212,People
features,213,Wall art
features,214,Top of a building
features,215,Green and brown colored objects
features,216,Green grass
features,217,Structures and landscapes
features,218,Top of a building
features,219,Pink colored objects
features,220,People
features,221,Structures and landscapes
features,222,Vertical lines
features,223,Black and white colored objects
features,224,Poles
features,225,Top of a building
features,226,"Building, sky"
features,227,Trees and crowds
features,228,Areas around a central focus
features,229,The ground
features,230,Buildings
features,231,Vertical lines
features,232,Green and brown colored objects
features,233,Wall art
features,234,Red and white colored objects
features,235,Top of a building
features,236,Green grass
features,237,Trees
features,238,Nature
features,239,Landscapes
features,240,Poles
features,241,Top of a building
features,242,Buildings
features,243,Vertical lines
features,244,Top of a building
features,245,Stairs
features,246,Black and white colored objects
features,247,Vertical lines
features,248,Vertical lines
features,249,People
features,250,Vibrant colors in pictures
features,251,Poles
features,252,Items of central focus
features,253,Green grass
features,254,Landscapes
features,255,Blue and pink objects
features,256,Top of a building
features,257,White colored object with black border
features,258,Buildings
features,259,Green grass
features,260,Buildings
features,261,Diagonal lines
features,262,Poles and legs
features,263,Buildings
features,264,Top of a building
features,265,Trees
features,266,Green and brown colored objects
features,267,Black and white colored objects
features,268,Buildings
features,269,Colorful items
features,270,Green and brown colored objects
features,271,Objects with stripes in it
features,272,Orange and yellow objects
features,273,Green and brown colored objects
features,274,Bright yellow colored objects
features,275,Colorful items
features,276,Green and brown colored objects
features,277,Items of central focus
features,278,Buildings and fields
features,279,Buildings
features,280,Brown colored objects
features,281,Items of central focus
features,282,Regions with straight features
features,283,Views of the mountaintop
features,284,Sunsets
features,285,Pizza and buildings
features,286,Plants
features,287,Trees and crowds
features,288,Structures and landscapes
features,289,Vertical lines
features,290,Windows
features,291,Plants
features,292,Landscapes
features,293,Food
features,294,Red and white colored objects
features,295,Areas with straight features
features,296,Arches
features,297,Poles
features,298,Regions with straight features
features,299,Sports stadiums
features,300,Black and white colored objects
features,301,Plants
features,302,Food
features,303,Buildings
features,304,Top of a building
features,305,Top of a building
features,306,Areas around central items
features,307,Colorful items
features,308,Green and brown colored objects
features,309,Wall art
features,310,Trees
features,311,Green grass
features,312,Poles
features,313,Black and white colored objects
features,314,Black and white colored objects
features,315,Vertical lines
features,316,The ground
features,317,Poles and legs
features,318,Windows
features,319,Vertical lines
features,320,Wall art
features,321,Wall art
features,322,Structures and landscapes
features,323,Food
features,324,Green and brown colored objects
features,325,Doors and windows
