layer,unit,description
avgpool,0,Circles
avgpool,1,Books
avgpool,2,White areas
avgpool,3,The ocean
avgpool,4,Faces of things
avgpool,5,Dresses
avgpool,6,Diagonal lines
avgpool,7,Water
avgpool,8,Clothing
avgpool,9,Dog ears
avgpool,10,Edges of objects
avgpool,11,Diagonal lines
avgpool,12,Animals
avgpool,13,Food
avgpool,14,Parts of things
avgpool,15,Organs and arches
avgpool,16,Red colored objects
avgpool,17,Living things
avgpool,18,Food
avgpool,19,The right side of a object
avgpool,20,Round objects
avgpool,21,Living things
avgpool,22,Light reflections
avgpool,23,Computer screens
avgpool,24,Specific patterns
avgpool,25,Faces of things
avgpool,26,Food
avgpool,27,The ground
avgpool,28,Living things
avgpool,29,Red objects
avgpool,30,Edges of objects
avgpool,31,Animals
avgpool,32,Vehicles
avgpool,33,Text
avgpool,34,Faces of things
avgpool,35,Animals
avgpool,36,Edges of objects
avgpool,37,Items with designs
avgpool,38,Hinges
avgpool,39,Landscapes
avgpool,40,Clothes
avgpool,41,Diagonal lines
avgpool,42,Faces of things
avgpool,43,Items with designs
avgpool,44,The right side of a object
avgpool,45,Faces of things
avgpool,46,Fences
avgpool,47,Furniture
avgpool,48,The right side of a object
avgpool,49,Living things
avgpool,50,Regions with straight features
avgpool,51,Animals
avgpool,52,Round objects
avgpool,53,Wooden stands
avgpool,54,The sky
avgpool,55,Animals
avgpool,56,The ocean
avgpool,57,Faces of things
avgpool,58,Green areas in picture
avgpool,59,Edges of objects
avgpool,60,Dogs
avgpool,61,Regions with straight features
avgpool,62,Living things
avgpool,63,Rounded edges in pictures
avgpool,64,Items with designs
avgpool,65,Living things
avgpool,66,Items with designs
avgpool,67,The right side of a object
avgpool,68,Greenery
avgpool,69,Living things
avgpool,70,The right side of a object
avgpool,71,Bottles
avgpool,72,Produce
avgpool,73,Round objects
avgpool,74,Clothing
avgpool,75,Arches
avgpool,76,Small checkered patterns
avgpool,77,Regions with straight features
avgpool,78,Items with designs
avgpool,79,Wooden chairs
avgpool,80,Produce
avgpool,81,Areas where objects
avgpool,82,The right side of a object
avgpool,83,Dogs
avgpool,84,Edges of objects
avgpool,85,Diagonal lines
avgpool,86,Items with designs
avgpool,87,Produce
avgpool,88,Vehicles
avgpool,89,Clothes
avgpool,90,The right side of a object
avgpool,91,Edges of objects
avgpool,92,Animals
avgpool,93,Yellow areas
avgpool,94,Regions with straight features
avgpool,95,Faces of things
avgpool,96,Windows
avgpool,97,Faces of things
avgpool,98,Dogs
avgpool,99,Spotted areas in pictures
avgpool,100,Dogs
avgpool,101,Water
avgpool,102,Living things
avgpool,103,Food
avgpool,104,Smoke and the sky
avgpool,105,Text
avgpool,106,Clothes
avgpool,107,The right side of a object
avgpool,108,Parts of things
avgpool,109,Hinges
avgpool,110,Faces of things
avgpool,111,Regions with straight features
avgpool,112,Light reflections
avgpool,113,Text
avgpool,114,Hands of people
avgpool,115,Faces of things
avgpool,116,Regions with straight features
avgpool,117,White backgrounds
avgpool,118,Houses built in rock cliff
avgpool,119,Clothes
avgpool,120,Items with designs
avgpool,121,Horizontal lines
avgpool,122,Round objects
avgpool,123,Similar color patterns
avgpool,124,Fur of animals
avgpool,125,Faces
avgpool,126,Items with circular features
avgpool,127,Dog ears
avgpool,128,Regions with straight features
avgpool,129,The middle of objects
avgpool,130,Text
avgpool,131,Edges of objects
avgpool,132,Living things
avgpool,133,Birds
avgpool,134,Red areas
avgpool,135,Insects
avgpool,136,Items with circular features
avgpool,137,Parts of things
avgpool,138,The ground
avgpool,139,Items with designs
avgpool,140,Furniture
avgpool,141,Yellow areas in pictures
avgpool,142,The ground and animals
avgpool,143,Circles
