layer,unit,description
fc,0,Living things
fc,1,Living things
fc,2,The ocean
fc,3,The ocean
fc,4,The ocean
fc,5,Aquatic life
fc,6,The ocean
fc,7,Birds
fc,8,Birds
fc,9,Animals
fc,10,Birds
fc,11,Birds
fc,12,Birds
fc,13,Birds
fc,14,Birds
fc,15,Birds
fc,16,Birds
fc,17,Birds
fc,18,Birds
fc,19,Birds
fc,20,Birds
fc,21,Birds
fc,22,Birds
fc,23,Birds
fc,24,Living things
fc,25,Living things
fc,26,Living things
fc,27,Living things
fc,28,Living things
fc,29,Living things
fc,30,Animals
fc,31,Yellow or green
fc,32,Animals
fc,33,Living things
fc,34,Living things
fc,35,Living things
fc,36,Living things
fc,37,Living things
fc,38,Living things
fc,39,Living things
fc,40,Brighter areas of objects
fc,41,Nature
fc,42,Living things
fc,43,Living things
fc,44,Animals
fc,45,Living things
fc,46,Yellow areas
fc,47,Animals
fc,48,Animals
fc,49,Animals
fc,50,Animals
fc,51,Living things
fc,52,Nature
fc,53,Living things
fc,54,Nature
fc,55,Greenery
fc,56,Animal
fc,57,Animal
fc,58,Nature
fc,59,Greenery
fc,60,Nature
fc,61,Nature
fc,62,Nature
fc,63,Animals
fc,64,Greenery
fc,65,Nature
fc,66,Animals
fc,67,Animals
fc,68,Animals
fc,69,Fossils
fc,70,Insects
fc,71,Living things
fc,72,"Insects, spiders"
fc,73,"Insects, spiders"
fc,74,"Insects, spiders"
fc,75,Nature
fc,76,Spiders and lizards
fc,77,Spiders and lizards
fc,78,"Insect, animal"
fc,79,Nature
fc,80,Birds
fc,81,Birds
fc,82,Birds
fc,83,Birds
fc,84,Birds
fc,85,Birds
fc,86,Birds
fc,87,Animals
fc,88,Living things
fc,89,Birds
fc,90,Birds
fc,91,Birds
fc,92,Birds
fc,93,Birds
fc,94,Birds
fc,95,Birds
fc,96,Living things
fc,97,Birds
fc,98,Birds
fc,99,Birds
fc,100,Birds
fc,101,Living things
fc,102,Animals
fc,103,Animals
fc,104,Animals
fc,105,Animals
fc,106,Animals
fc,107,The jellyfish are illuminated to the point of glowing
fc,108,Aquatic life
fc,109,Aquatic life
fc,110,Aquatic life
fc,111,Green and white
fc,112,Aquatic life
fc,113,Living things
fc,114,Nature
fc,115,Aquatic life
fc,116,Aquatic life
fc,117,Aquatic life
fc,118,Living things
fc,119,Living things
fc,120,Living things
fc,121,Living things
fc,122,Red and orange objects
fc,123,Living things
fc,124,Living things
fc,125,Living things
fc,126,Living things
fc,127,Birds
fc,128,Birds
fc,129,Birds
fc,130,Living things
fc,131,Birds
fc,132,Birds
fc,133,Birds
fc,134,Birds
fc,135,Birds
fc,136,Birds
fc,137,Birds
fc,138,Birds
fc,139,Birds
fc,140,Birds
fc,141,Birds
fc,142,Birds
fc,143,Birds
fc,144,Birds
fc,145,Birds
fc,146,Birds
fc,147,Water
fc,148,The ocean
fc,149,Underwater
fc,150,Animals in the water
fc,151,Dogs
fc,152,Dogs
fc,153,Dogs
fc,154,Dogs
fc,155,Faces of dogs
fc,156,Dogs
fc,157,Dogs
fc,158,Dogs
fc,159,Dogs
fc,160,Dogs
fc,161,Dog ears
fc,162,Dogs
fc,163,Dog ears
fc,164,Dogs
fc,165,Dogs
fc,166,Dogs
fc,167,Dogs
fc,168,Dog ears
fc,169,Dogs
fc,170,Dogs
fc,171,Dogs
fc,172,Dogs
fc,173,Dog ears
fc,174,Dogs
fc,175,Dogs
fc,176,Dogs
fc,177,Dogs
fc,178,Dog ears
fc,179,Dogs
fc,180,Dogs
fc,181,Dogs
fc,182,Dogs
fc,183,Dogs
fc,184,Dogs
fc,185,Dogs
fc,186,Dogs
fc,187,Dogs
fc,188,Dogs
fc,189,Dogs
fc,190,Dogs
fc,191,Dogs
fc,192,Dogs
fc,193,Dogs
fc,194,Dogs
fc,195,Dogs
fc,196,Dogs
fc,197,Dogs
fc,198,Dogs
fc,199,Dogs
fc,200,Dogs
fc,201,Dogs
fc,202,Dogs
fc,203,Dogs
fc,204,Faces of dogs
fc,205,Dogs
fc,206,Dogs
fc,207,Dogs
fc,208,Dogs
fc,209,Dogs
fc,210,Dogs
fc,211,Dogs
fc,212,Dogs
fc,213,Dog ears
fc,214,Dogs
fc,215,Dogs
fc,216,Dogs
fc,217,Dogs
fc,218,Dogs
fc,219,Dogs
fc,220,Dogs
fc,221,Dogs
fc,222,Dogs
fc,223,Dogs
fc,224,Dogs
fc,225,Dogs
fc,226,Dogs
fc,227,Dogs
fc,228,Faces of things
fc,229,Dogs
fc,230,Dogs
fc,231,Dogs
fc,232,Dogs
fc,233,Dogs
fc,234,Dogs
fc,235,Dogs
fc,236,Dogs
fc,237,Dogs
fc,238,Dogs
fc,239,Dogs
fc,240,Dogs
fc,241,Dogs
fc,242,Dogs
fc,243,Dogs
fc,244,Dog faces
fc,245,Dogs
fc,246,Dogs
fc,247,Dogs
fc,248,Animal
fc,249,Animal
fc,250,Animal
fc,251,Living things
fc,252,Dogs
fc,253,Dog ears
fc,254,Dogs
fc,255,Dogs
fc,256,Dogs
fc,257,Dogs
fc,258,Faces of dogs
fc,259,Animal faces
fc,260,Dog faces
fc,261,Dogs
fc,262,Dogs
fc,263,Dogs
fc,264,Dogs
fc,265,Dogs
fc,266,Dogs
fc,267,Dogs
fc,268,Animals
fc,269,Animal
fc,270,Animal
fc,271,Animals
fc,272,Animal
fc,273,Animal
fc,274,Animal
fc,275,Animals
fc,276,Animals
fc,277,Animals
fc,278,Animals
fc,279,Animals
fc,280,Animals
fc,281,Faces of things
fc,282,Animals
fc,283,Faces of things
fc,284,Faces of things
fc,285,Faces of things
fc,286,Animals
fc,287,Animals
fc,288,Animals
fc,289,Animals
fc,290,Animals
fc,291,Animal
fc,292,Living things
fc,293,Animals
fc,294,Animals
fc,295,Animals
fc,296,The ground
fc,297,Animals
fc,298,Animals
fc,299,Animals
fc,300,Insects
fc,301,Green areas in picture
fc,302,Insects
fc,303,Insects
fc,304,Green areas in picture
fc,305,Living things
fc,306,Living things
fc,307,Insects
fc,308,Insects
fc,309,Butterflies and flowers
fc,310,Insects
fc,311,Bugs
fc,312,Insects
fc,313,Diagonal lines
fc,314,Insects
fc,315,Bugs
fc,316,"Insects, birds"
fc,317,Green areas in picture
fc,318,Nature
fc,319,Insects and spiders
fc,320,Insects
fc,321,Butterflies
fc,322,Butterflies
fc,323,Butterflies
fc,324,Nature
fc,325,Flowers
fc,326,Butterflies
fc,327,Living things
fc,328,Aquatic life
fc,329,Aquatic life
fc,330,Animals
fc,331,Animals
fc,332,Faces of things
fc,333,Faces of things
fc,334,Animals
fc,335,Animals
fc,336,Living things
fc,337,Animals
fc,338,Animal fur
fc,339,Animal legs
fc,340,Stripes
fc,341,Animals
fc,342,Animals
fc,343,Animals
fc,344,Living things
fc,345,Animals
fc,346,Animals
fc,347,Animals
fc,348,Animals
fc,349,Animals
fc,350,Animals
fc,351,Animals
fc,352,Living things
fc,353,Living things
fc,354,Animal legs
fc,355,Animals
fc,356,Animals
fc,357,Animals
fc,358,Animals
fc,359,Animals
fc,360,Living things
fc,361,Animals
fc,362,Animals
fc,363,Animals
