layer,unit,description
layer1,0,Black and white stripes
layer1,1,Areas of green
layer1,2,Stripes
layer1,3,Spots of the color white
layer1,4,Nothing
layer1,5,The color blue
layer1,6,Purple areas
layer1,7,Lighter areas
layer1,8,Spots of the color white
layer1,9,Red colored objects
layer1,10,Horizontal lines
layer1,11,Spots of the color white
layer1,12,Horizontal lines
layer1,13,Text
layer1,14,Edges of objects
layer1,15,The color blue
layer1,16,Areas of blue
layer1,17,Spots of the color white
layer1,18,Nothing
layer1,19,Spots of the color white
layer1,20,White spots
layer1,21,Horizontal lines
layer1,22,Spots of the color white
layer1,23,Red dots
layer1,24,Stripes
layer1,25,Vertical lines
layer1,26,The area under lines
layer1,27,Blue areas
layer1,28,Red areas in picture
layer1,29,Text
layer1,30,Horizontal lines
layer1,31,The color red
layer1,32,Blue areas in pictures
layer1,33,Green areas in picture
layer1,34,The color red
layer1,35,The color orange and red
layer1,36,Spots of the color white
layer1,37,Bits of black marks
layer1,38,Spots of the color white
layer1,39,Spots of the color white
layer1,40,Spots of the color white
layer1,41,Text
layer1,42,Horizontal lines
layer1,43,Spots of the color white
layer1,44,Text and ashes
layer1,45,Neon blue
layer1,46,Spots of the color white
layer1,47,Horizontal lines
layer1,48,Spots of the color white
layer1,49,Small dots
layer1,50,Spots of the color white
layer1,51,Stripes
layer1,52,Yellow dots
layer1,53,Stripes
layer1,54,Edges of objects
layer1,55,Stripes
layer1,56,Spots of the color white
layer1,57,Nothing
layer1,58,Spots of the color white
layer1,59,Text and ashes
layer1,60,Text and ashes
layer1,61,Spots of the color white
layer1,62,The color green
layer1,63,Spots of the color white
