layer,unit,description
avgpool,0,Green grass
avgpool,1,Buildings
avgpool,2,Pools
avgpool,3,Corners of different places
avgpool,4,Buildings
avgpool,5,Green grass
avgpool,6,Trees
avgpool,7,Top of a building
avgpool,8,Black and white colored objects
avgpool,9,Windows
avgpool,10,Regions with straight features
avgpool,11,Nature
avgpool,12,Diagonal lines
avgpool,13,Windows and doors
avgpool,14,Green and brown colored objects
avgpool,15,Walls
avgpool,16,Green grass
avgpool,17,Red colored object with text
avgpool,18,Food
avgpool,19,Windows
avgpool,20,"Building, people"
avgpool,21,Vertical lines
avgpool,22,Buildings
avgpool,23,"Building, people"
avgpool,24,Green colored objects
avgpool,25,Black and white colored objects
avgpool,26,Buildings
avgpool,27,People
avgpool,28,Green grass
avgpool,29,Towers
avgpool,30,Stairs
avgpool,31,Sign boards with text in it
avgpool,32,Peoples legs
avgpool,33,People
avgpool,34,Heads
avgpool,35,Colorful items
avgpool,36,Green grass
avgpool,37,Buildings
avgpool,38,Trees
avgpool,39,Waterfalls
avgpool,40,"Building, people"
avgpool,41,Windows
avgpool,42,Lights
avgpool,43,The ground
avgpool,44,Green grass
avgpool,45,Black and white colored objects
avgpool,46,Corners of different places
avgpool,47,Flowers and flowers
avgpool,48,Windows
avgpool,49,People
avgpool,50,Areas around a central focus
avgpool,51,Mountains and water
avgpool,52,Sports fields
avgpool,53,Vertical lines
avgpool,54,Water
avgpool,55,Pools
avgpool,56,Red and white colored objects
avgpool,57,Pools
avgpool,58,Windows
avgpool,59,Shelves
avgpool,60,Windows
avgpool,61,Black and white colored objects
avgpool,62,Furniture
avgpool,63,Windows
avgpool,64,Windows
avgpool,65,Buildings
avgpool,66,Regions with straight features
avgpool,67,Arches
avgpool,68,Vertical lines
avgpool,69,Water
avgpool,70,Green and brown colored objects
avgpool,71,Colorful items
avgpool,72,Windows
avgpool,73,Black and white colored objects
avgpool,74,White colored object with black border
avgpool,75,Green and brown colored objects
avgpool,76,"Building, windows, people"
avgpool,77,Vertical lines
avgpool,78,Bookcases
avgpool,79,Ice
avgpool,80,Green and brown colored objects
avgpool,81,Windows
avgpool,82,Sign boards with text in it
avgpool,83,Vertical lines
avgpool,84,"Water, people"
avgpool,85,People
avgpool,86,Nature
avgpool,87,Plants
avgpool,88,Cars and planes
avgpool,89,Buildings
avgpool,90,Horizontal lines
avgpool,91,Diagonal lines
avgpool,92,Windows
avgpool,93,Diagonal lines
avgpool,94,Trees
avgpool,95,Trees
avgpool,96,Vertical lines
avgpool,97,Walls
avgpool,98,Plants
avgpool,99,Walls
avgpool,100,Red colored object with text
avgpool,101,Green grass
avgpool,102,Items of central focus
avgpool,103,Circular objects
avgpool,104,Buildings
avgpool,105,Diagonal lines
avgpool,106,Diagonal lines
avgpool,107,The sky
avgpool,108,Windows
avgpool,109,Nature
avgpool,110,Lights
avgpool,111,Top of a building
avgpool,112,"Building, sky"
avgpool,113,Landscapes
avgpool,114,Landscapes
avgpool,115,Diagonal lines
avgpool,116,Green and brown colored objects
avgpool,117,Bridges and gazebos
avgpool,118,Food
avgpool,119,Windows
avgpool,120,Mountains and people
avgpool,121,Green grass
avgpool,122,Windows
avgpool,123,"Water, trees, people"
avgpool,124,Water
avgpool,125,Buildings
avgpool,126,Grass and flowers
avgpool,127,Trees and people
avgpool,128,Poles
avgpool,129,The ground
avgpool,130,Nature
avgpool,131,Lights
avgpool,132,Diagonal lines
avgpool,133,People 's heads
avgpool,134,Ice
avgpool,135,Nature
avgpool,136,Items of central focus
avgpool,137,Sports fields
avgpool,138,Windows
avgpool,139,Tree branches without leaves
avgpool,140,Faces of human beings
avgpool,141,Faces of human beings
avgpool,142,Trees
avgpool,143,"Water, trees, people"
avgpool,144,Top of a building
avgpool,145,Walls
avgpool,146,Top of a building
avgpool,147,Windows
avgpool,148,Head of people
avgpool,149,Buildings
avgpool,150,Flowers and flowers
avgpool,151,Objects with stripes in it
avgpool,152,People
avgpool,153,Corners of different places
avgpool,154,Plants
avgpool,155,Top of a building
avgpool,156,Green grass
avgpool,157,Plants
avgpool,158,Windows
avgpool,159,People
avgpool,160,Diagonal lines
avgpool,161,Cars
avgpool,162,Buildings
avgpool,163,Top of a building
avgpool,164,"Building, people"
avgpool,165,Nature
avgpool,166,Buildings
avgpool,167,Top of a building
avgpool,168,Plants
avgpool,169,Vertical lines
avgpool,170,Trees
avgpool,171,Diagonal lines
avgpool,172,Red and white colored objects
avgpool,173,Top of a building
avgpool,174,Trees
avgpool,175,Diagonal lines
avgpool,176,Buildings and shelves
avgpool,177,Trees
avgpool,178,People
avgpool,179,Head of people
avgpool,180,Towers
avgpool,181,Windows
avgpool,182,Green grass
avgpool,183,Diagonal lines
avgpool,184,Waterfalls
avgpool,185,Bookcases
avgpool,186,Diagonal lines
avgpool,187,Outdoor landscapes
avgpool,188,Walkways
avgpool,189,Food
avgpool,190,Black and white colored objects
avgpool,191,Buildings
avgpool,192,Old buildings
avgpool,193,Poles
avgpool,194,Top of a building
avgpool,195,Flowers and flowers
avgpool,196,Walls
avgpool,197,Trees
avgpool,198,Views of the mountaintop
avgpool,199,Doors and windows
avgpool,200,Windows
avgpool,201,Items of central focus
avgpool,202,Items of central focus
avgpool,203,Windows
avgpool,204,People
avgpool,205,Trees and people
avgpool,206,Windows
avgpool,207,The ground
avgpool,208,The sky
avgpool,209,Green grass
avgpool,210,People
avgpool,211,Trees
avgpool,212,People
avgpool,213,Windows
avgpool,214,Nature
avgpool,215,The sky
avgpool,216,Views of the mountaintop
avgpool,217,Buildings
avgpool,218,Green and brown colored objects
avgpool,219,Lights
avgpool,220,Buildings and doors
avgpool,221,The sky
avgpool,222,Food
avgpool,223,People
avgpool,224,Arches
avgpool,225,Bright yellow colored objects
avgpool,226,Red objects
avgpool,227,People
avgpool,228,Pools
avgpool,229,"Trees, water, people"
avgpool,230,Regions with straight features
avgpool,231,Lights
avgpool,232,Windows
avgpool,233,Stairs
avgpool,234,Sports stadiums
avgpool,235,Diagonal lines
avgpool,236,Plants
avgpool,237,Walls
avgpool,238,Green grass
avgpool,239,Pools
avgpool,240,Buildings
avgpool,241,Nature
avgpool,242,Areas around items of central focus and edges
avgpool,243,Plants
avgpool,244,Diagonal lines
avgpool,245,Diagonal lines
avgpool,246,Towers
avgpool,247,Black and white colored objects
avgpool,248,People
avgpool,249,Black and white colored objects
avgpool,250,Green and brown colored objects
avgpool,251,Green and brown colored objects
avgpool,252,Nature
avgpool,253,Windows
avgpool,254,Lights
avgpool,255,Vertical lines
avgpool,256,Trees
avgpool,257,Items of central focus
avgpool,258,Nature
avgpool,259,Plants
avgpool,260,Lights
avgpool,261,Wooden furniture
avgpool,262,Windows
avgpool,263,Black and white colored objects
avgpool,264,Green and brown colored objects
avgpool,265,Bookcases
