layer,unit,description
subset,0,Clothes
subset,1,Edges of objects
subset,2,Clothing
subset,3,Edges of objects
subset,4,Regions with straight features
subset,5,Edges of objects
subset,6,Faces of things
subset,7,Faces of things
subset,8,Edges of objects
subset,9,Faces of things
subset,10,Light reflections
subset,11,Faces of things
subset,12,Edges of objects
subset,13,Edges of objects
subset,14,Dogs
subset,15,Edges of objects
subset,16,Edges of objects
subset,17,Faces of things
subset,18,Faces of things
subset,19,Faces of things
subset,20,Clothing
subset,21,Edges of objects
subset,22,Edges of objects
subset,23,Faces of things
subset,24,Edges of objects
subset,25,Edges of objects
subset,26,Human faces
subset,27,Faces of things
subset,28,Regions with straight features
subset,29,Faces of things
subset,30,The right side of a object
subset,31,Edges of objects
subset,32,Rounded edges in pictures
subset,33,Edges of objects
subset,34,Regions with straight features
subset,35,Faces of things
subset,36,Faces of things
subset,37,Faces of things
subset,38,Rounded edges in pictures
subset,39,Edges of objects
subset,40,Edges of objects
subset,41,The right side of a object
subset,42,Edges of objects
subset,43,Edges of objects
subset,44,Edges of objects
subset,45,Diagonal lines
subset,46,White areas
subset,47,Edges of objects
subset,48,Edges of objects
subset,49,Diagonal lines
subset,50,Edges of objects
subset,51,Faces of things
subset,52,Grassy areas
subset,53,Faces of things
subset,54,Edges of objects
subset,55,Faces of things
subset,56,Regions with straight features
subset,57,Edges of objects
subset,58,Faces of things
subset,59,Faces of things
subset,60,Edges of objects
subset,61,Faces of things
subset,62,Nature
subset,63,Regions with straight features
subset,64,Faces of things
subset,65,Light reflections
subset,66,Edges of objects
subset,67,Edges of objects
subset,68,Light reflections
subset,69,Edges of objects
subset,70,Edges of objects
subset,71,Edges of objects
subset,72,Edges of objects
subset,73,Faces of things
subset,74,Rounded edges in pictures
subset,75,Blue skies
subset,76,Faces of things
subset,77,Regions with straight features
subset,78,Edges of objects
subset,79,Faces of things
subset,80,Faces of things
subset,81,Faces of things
subset,82,Faces of things
subset,83,Living things
subset,84,Regions with straight features
subset,85,Regions with straight features
subset,86,Edges of objects
subset,87,Regions with straight features
subset,88,Regions with straight features
subset,89,Faces of things
subset,90,Edges of objects
subset,91,Edges of objects
subset,92,Regions with straight features
subset,93,Faces of things
subset,94,Regions with straight features
subset,95,Regions with straight features
subset,96,Faces of things
subset,97,Edges of objects
subset,98,Faces of things
subset,99,Edges of objects
subset,100,Faces of things
subset,101,Nature
subset,102,Faces of things
subset,103,Edges of objects
subset,104,Distorted faces
subset,105,Faces of things
subset,106,Faces of things
subset,107,Regions with straight features
subset,108,Edges of objects
subset,109,Dog ears
subset,110,Edges of objects
subset,111,Regions with straight features
subset,112,Regions with straight features
subset,113,Edges of objects
subset,114,Living things
subset,115,Edges of objects
subset,116,Edges of objects
subset,117,Faces of things
subset,118,Faces of things
subset,119,Edges of objects
subset,120,Food
subset,121,The area around the object
subset,122,Landscapes
subset,123,Rounded edges in pictures
subset,124,Human faces
subset,125,Faces of things
subset,126,Edges of objects
subset,127,Walls and clothes
subset,128,Regions with straight features
subset,129,Faces of things
subset,130,Edges of objects
subset,131,Items with designs
subset,132,Clothing
subset,133,Nature
subset,134,White areas
subset,135,Clothes
subset,136,Human faces
subset,137,Faces of things
subset,138,Faces of things
subset,139,Regions with straight features
subset,140,Faces of things
subset,141,Edges of objects
subset,142,Faces of things
subset,143,Regions with straight features
subset,144,Edges of objects
subset,145,Faces of things
subset,146,Edges of objects
subset,147,Cylindrical objects
subset,148,Edges of objects
subset,149,The area around the object
subset,150,The ground
subset,151,Edges of objects
subset,152,Faces of things
subset,153,Edges of objects
subset,154,Edges of objects
subset,155,Dogs
subset,156,Regions with straight features
subset,157,Edges of objects
subset,158,Regions with straight features
subset,159,The right side of a object
subset,160,Clothing
subset,161,Faces of things
subset,162,The ground
subset,163,Faces of things
subset,164,Regions with straight features
subset,165,Edges of objects
subset,166,Edges of objects
subset,167,Regions with straight features
subset,168,Regions with straight features
subset,169,Faces of things
subset,170,Edges of objects
subset,171,Regions with straight features
subset,172,Dogs
subset,173,The right side of a object
subset,174,Edges of objects
subset,175,Edges of objects
subset,176,Faces of things
subset,177,Faces of things
subset,178,Edges of objects
subset,179,Edges of objects
subset,180,Edges of objects
subset,181,Dogs
subset,182,Faces of things
subset,183,Faces of things
subset,184,Faces of things
subset,185,Faces of things
subset,186,The ground
subset,187,Faces of things
subset,188,Edges of objects
subset,189,Rounded edges in pictures
subset,190,Edges of objects
subset,191,Faces of things
subset,192,The ground
subset,193,Faces of things
subset,194,Faces of things
subset,195,Edges of objects
subset,196,Regions with straight features
subset,197,Edges of objects
subset,198,Regions with straight features
subset,199,Faces of things
subset,200,Edges of objects
subset,201,Animals
subset,202,Regions with straight features
subset,203,Faces of things
subset,204,Faces of things
subset,205,Faces of things
subset,206,Regions with straight features
subset,207,Regions with straight features
subset,208,Edges of objects
subset,209,Faces of things
subset,210,Regions with straight features
